"Pathway1","Pathway2","Corr"
"BIOCARTA_RANMS_PATHWAY","BIOCARTA_RAN_PATHWAY",0.844964496821431
"BIOCARTA_RANMS_PATHWAY","BIOCARTA_NPC_PATHWAY",0.834537143523712
"BIOCARTA_RANMS_PATHWAY","BIOCARTA_MCM_PATHWAY",0.734024658757769
"BIOCARTA_RANMS_PATHWAY","BIOCARTA_G2_PATHWAY",0.673908478953011
"BIOCARTA_RANMS_PATHWAY","BIOCARTA_SM_PATHWAY",0.672385369946027
"BIOCARTA_TEL_PATHWAY","BIOCARTA_RB_PATHWAY",0.526894896533025
"BIOCARTA_TEL_PATHWAY","BIOCARTA_VDR_PATHWAY",0.521391846712508
"BIOCARTA_TEL_PATHWAY","BIOCARTA_HSWI_SNF_PATHWAY",0.50337470444545
"BIOCARTA_TEL_PATHWAY","BIOCARTA_IGF1MTOR_PATHWAY",0.494673896054705
"BIOCARTA_TEL_PATHWAY","BIOCARTA_TERC_PATHWAY",0.49234087950334
"BIOCARTA_SARS_PATHWAY","BIOCARTA_SM_PATHWAY",0.568904043998696
"BIOCARTA_SARS_PATHWAY","BIOCARTA_SET_PATHWAY",0.497746236963356
"BIOCARTA_SARS_PATHWAY","BIOCARTA_RAN_PATHWAY",0.443379230360136
"BIOCARTA_SARS_PATHWAY","BIOCARTA_AHSP_PATHWAY",0.441509842081008
"BIOCARTA_SARS_PATHWAY","BIOCARTA_MCM_PATHWAY",0.418100326712128
"BIOCARTA_PDZS_PATHWAY","BIOCARTA_BOTULIN_PATHWAY",0.45300899678471
"BIOCARTA_PDZS_PATHWAY","BIOCARTA_FOSB_PATHWAY",0.4022075006677
"BIOCARTA_PDZS_PATHWAY","BIOCARTA_CK1_PATHWAY",0.381271607697756
"BIOCARTA_PDZS_PATHWAY","BIOCARTA_BARRESTIN_PATHWAY",0.380452764209615
"BIOCARTA_PDZS_PATHWAY","BIOCARTA_SALMONELLA_PATHWAY",0.371550174852821
"BIOCARTA_RACC_PATHWAY","BIOCARTA_TUBBY_PATHWAY",0.43354300612007
"BIOCARTA_RACC_PATHWAY","BIOCARTA_GHRELIN_PATHWAY",0.404626996008342
"BIOCARTA_RACC_PATHWAY","BIOCARTA_NO1_PATHWAY",0.376957578107264
"BIOCARTA_RACC_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY",0.369256620526858
"BIOCARTA_RACC_PATHWAY","BIOCARTA_PDZS_PATHWAY",0.358874639730362
"BIOCARTA_EICOSANOID_PATHWAY","BIOCARTA_ACETAMINOPHEN_PATHWAY",0.549401645849409
"BIOCARTA_EICOSANOID_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.532041583063817
"BIOCARTA_EICOSANOID_PATHWAY","BIOCARTA_VOBESITY_PATHWAY",0.514571712651786
"BIOCARTA_EICOSANOID_PATHWAY","BIOCARTA_PEPI_PATHWAY",0.513273783439077
"BIOCARTA_EICOSANOID_PATHWAY","BIOCARTA_IL17_PATHWAY",0.512762698925991
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA_LEPTIN_PATHWAY",0.53252849948973
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA_CK1_PATHWAY",0.527652645214524
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA_DREAM_PATHWAY",0.478841183751781
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA_CFTR_PATHWAY",0.472717469039007
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA_PLCE_PATHWAY",0.420856990409607
"BIOCARTA_LIS1_PATHWAY","BIOCARTA_REELIN_PATHWAY",0.479774587526206
"BIOCARTA_LIS1_PATHWAY","BIOCARTA_BOTULIN_PATHWAY",0.418310855946834
"BIOCARTA_LIS1_PATHWAY","BIOCARTA_CK1_PATHWAY",0.390488558488038
"BIOCARTA_LIS1_PATHWAY","BIOCARTA_CDK5_PATHWAY",0.384899127442939
"BIOCARTA_LIS1_PATHWAY","BIOCARTA_CACAM_PATHWAY",0.362216614062607
"BIOCARTA_HSWI_SNF_PATHWAY","BIOCARTA_VDR_PATHWAY",0.84595222209751
"BIOCARTA_HSWI_SNF_PATHWAY","BIOCARTA_CARM_ER_PATHWAY",0.703349892473704
"BIOCARTA_HSWI_SNF_PATHWAY","BIOCARTA_PRC2_PATHWAY",0.683014587909567
"BIOCARTA_HSWI_SNF_PATHWAY","BIOCARTA_ERK5_PATHWAY",0.625019054926858
"BIOCARTA_HSWI_SNF_PATHWAY","BIOCARTA_DICER_PATHWAY",0.617676072978009
"BIOCARTA_PCAF_PATHWAY","BIOCARTA_HIVNEF_PATHWAY",0.651632522358972
"BIOCARTA_PCAF_PATHWAY","BIOCARTA_TNFR2_PATHWAY",0.619820422531547
"BIOCARTA_PCAF_PATHWAY","BIOCARTA_RELA_PATHWAY",0.615607872550122
"BIOCARTA_PCAF_PATHWAY","BIOCARTA_DEATH_PATHWAY",0.611244575389598
