"Pathway1","Pathway2","Dist","Dist_P1","Dist_P2","Dist_P1_P2","Num1","Num2","Num_Overlap","Ratio_Overlap"
"BIOCARTA_41BB_PATHWAY","BIOCARTA_TOLL_PATHWAY",0.117777777777778,1.44444444444444,1.52,1.6,18,25,9,0.264705882352941
"BIOCARTA_41BB_PATHWAY","BIOCARTA_STRESS_PATHWAY",0.121527777777778,1.44444444444444,1.36805555555556,1.52777777777778,18,24,10,0.3125
"BIOCARTA_41BB_PATHWAY","BIOCARTA_KERATINOCYTE_PATHWAY",0.13684099978996,1.62003780718336,1.44444444444444,1.66908212560386,46,18,11,0.207547169811321
"BIOCARTA_41BB_PATHWAY","BIOCARTA_NTHI_PATHWAY",0.142197017433312,1.49338374291115,1.44444444444444,1.61111111111111,23,18,6,0.171428571428571
"BIOCARTA_41BB_PATHWAY","BIOCARTA_IL1R_PATHWAY",0.147762747138398,1.44640998959417,1.44444444444444,1.59318996415771,31,18,9,0.225
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_PLATELETAPP_PATHWAY",0.255645453447651,1.94082840236686,1.59183673469388,2.02197802197802,13,14,6,0.285714285714286
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY",0.309068131228957,1.94082840236686,1.73534971644612,2.14715719063545,13,23,6,0.2
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_NO1_PATHWAY",0.324621120637604,1.99234693877551,1.94082840236686,2.29120879120879,28,13,0,0
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_AMI_PATHWAY",0.342278106508876,1.89,1.94082840236686,2.25769230769231,20,13,6,0.222222222222222
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_BIOPEPTIDES_PATHWAY",0.370023007268045,1.94082840236686,1.57907253269917,2.12997347480106,13,29,2,0.05
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.417961432506887,2.16528925619835,1.12,2.06060606060606,34,5,3,0.0833333333333333
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_EICOSANOID_PATHWAY",0.45694214876033,2.11157024793388,1.12,2.07272727272727,22,5,2,0.08
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_FREE_PATHWAY",0.72,1.12,1.8,2.18,5,10,0,0
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_MRP_PATHWAY",0.862222222222222,1.12,1.88888888888889,2.36666666666667,5,6,0,0
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_PPARA_PATHWAY",0.86862426035503,1.12,1.68121301775148,2.26923076923077,5,52,1,0.0178571428571429
"BIOCARTA_ACH_PATHWAY","BIOCARTA_PTEN_PATHWAY",0.153187200806248,1.35802469135802,1.6530612244898,1.65873015873016,18,14,5,0.185185185185185
"BIOCARTA_ACH_PATHWAY","BIOCARTA_CXCR4_PATHWAY",0.174854429306349,1.41828254847645,1.6530612244898,1.71052631578947,19,14,3,0.1
"BIOCARTA_ACH_PATHWAY","BIOCARTA_AKT_PATHWAY",0.17966773486254,1.53305785123967,1.6530612244898,1.77272727272727,22,14,8,0.285714285714286
"BIOCARTA_ACH_PATHWAY","BIOCARTA_PTDINS_PATHWAY",0.185216619729177,1.92060491493384,1.6530612244898,1.97204968944099,23,14,2,0.0571428571428571
"BIOCARTA_ACH_PATHWAY","BIOCARTA_GLEEVEC_PATHWAY",0.188727286755912,1.42911153119093,1.6530612244898,1.72981366459627,23,14,5,0.15625
"BIOCARTA_ACTINY_PATHWAY","BIOCARTA_SALMONELLA_PATHWAY",0.144722222222222,0.88,1.26388888888889,1.21666666666667,5,12,4,0.307692307692308
"BIOCARTA_ACTINY_PATHWAY","BIOCARTA_RAC1_PATHWAY",0.306831065759637,1.80498866213152,1.26388888888889,1.84126984126984,21,12,2,0.0645161290322581
"BIOCARTA_ACTINY_PATHWAY","BIOCARTA_CDC42RAC_PATHWAY",0.315972222222222,1.1875,1.26388888888889,1.54166666666667,8,12,2,0.111111111111111
"BIOCARTA_ACTINY_PATHWAY","BIOCARTA_RHO_PATHWAY",0.377125850340136,1.75963718820862,1.26388888888889,1.88888888888889,21,12,0,0
"BIOCARTA_ACTINY_PATHWAY","BIOCARTA_MAL_PATHWAY",0.423688057863958,1.52908587257618,1.26388888888889,1.82017543859649,19,12,2,0.0689655172413793
"BIOCARTA_AGPCR_PATHWAY","BIOCARTA_PLCE_PATHWAY",0.0661157024793386,1.37190082644628,1.43801652892562,1.47107438016529,11,11,6,0.375
