Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.196	1.482	0.849	0.803	6.6	2.562	0.372	0.3
2	False	1.6	1.265	0.891	0.853	6.595	2.561	0.398	0.317
3	False	1.5	1.225	0.898	0.862	6.721	2.581	0.402	0.335
4	False	1.444	1.202	0.902	0.867	6.306	2.495	0.41	0.335
5	False	1.404	1.185	0.905	0.871	5.943	2.442	0.421	0.347
6	False	1.374	1.172	0.907	0.874	5.837	2.419	0.389	0.321
7	False	1.326	1.152	0.91	0.878	6.136	2.473	0.416	0.358
8	False	1.3	1.14	0.912	0.881	6.092	2.47	0.415	0.342
9	False	1.27	1.127	0.914	0.884	6.09	2.471	0.431	0.35
10	False	1.24	1.114	0.916	0.887	5.481	2.347	0.43	0.355
11	False	1.221	1.105	0.918	0.889	5.913	2.429	0.437	0.376
12	False	1.194	1.093	0.92	0.891	5.86	2.42	0.443	0.358
13	False	1.181	1.087	0.921	0.892	5.621	2.374	0.45	0.373
14	False	1.164	1.079	0.922	0.893	5.651	2.38	0.467	0.384
15	False	1.146	1.071	0.923	0.895	5.794	2.412	0.441	0.363
16	False	1.129	1.062	0.924	0.897	5.541	2.359	0.456	0.375
17	False	1.114	1.055	0.925	0.898	5.452	2.339	0.456	0.386
18	False	1.107	1.052	0.926	0.898	5.711	2.395	0.452	0.363
19	False	1.087	1.042	0.927	0.9	5.626	2.377	0.448	0.365
20	False	1.086	1.042	0.927	0.9	5.846	2.42	0.447	0.368
21	False	1.08	1.039	0.928	0.901	5.454	2.339	0.468	0.399
22	False	1.057	1.028	0.929	0.902	5.539	2.359	0.451	0.379
23	False	1.046	1.023	0.93	0.904	5.793	2.41	0.45	0.371
24	False	1.035	1.017	0.931	0.904	5.195	2.286	0.477	0.397
25	False	1.023	1.012	0.932	0.905	5.585	2.367	0.451	0.368
26	False	1.018	1.009	0.932	0.906	5.531	2.357	0.451	0.37
27	False	1.005	1.003	0.933	0.907	5.485	2.348	0.461	0.381
28	False	1.0	1.0	0.933	0.907	5.485	2.348	0.462	0.377
29	False	0.987	0.993	0.934	0.908	5.179	2.281	0.47	0.381
30	False	0.981	0.991	0.934	0.908	5.269	2.301	0.467	0.396
31	False	0.967	0.983	0.935	0.91	5.214	2.29	0.473	0.393
32	False	0.957	0.978	0.936	0.91	5.561	2.36	0.463	0.389
33	False	0.952	0.976	0.936	0.911	5.349	2.32	0.457	0.383
34	False	0.944	0.972	0.937	0.911	5.425	2.334	0.453	0.381
35	False	0.941	0.97	0.937	0.912	5.335	2.318	0.466	0.386
36	False	0.932	0.965	0.938	0.912	5.439	2.337	0.459	0.385
37	False	0.926	0.963	0.938	0.913	5.244	2.297	0.465	0.379
38	False	0.918	0.958	0.939	0.914	5.193	2.284	0.477	0.39
39	True	0.915	0.957	0.939	0.914	5.23	2.291	0.468	0.379
