Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.216	1.489	0.846	0.798	6.347	2.529	0.396	0.351
2	False	1.588	1.26	0.891	0.852	5.291	2.31	0.454	0.363
3	False	1.493	1.222	0.897	0.861	6.127	2.484	0.427	0.363
4	False	1.45	1.204	0.901	0.865	5.558	2.37	0.455	0.389
5	False	1.396	1.182	0.904	0.869	5.73	2.403	0.452	0.382
6	False	1.365	1.168	0.907	0.873	5.459	2.346	0.443	0.371
7	False	1.339	1.157	0.908	0.876	5.401	2.334	0.451	0.386
8	False	1.298	1.139	0.911	0.879	5.28	2.307	0.441	0.386
9	False	1.279	1.131	0.913	0.882	5.855	2.43	0.424	0.367
10	False	1.254	1.12	0.915	0.884	5.579	2.376	0.445	0.397
11	False	1.237	1.113	0.916	0.885	5.453	2.346	0.463	0.404
12	False	1.21	1.1	0.918	0.888	5.672	2.387	0.446	0.382
13	False	1.189	1.09	0.919	0.89	5.26	2.305	0.462	0.397
14	False	1.175	1.084	0.92	0.891	5.189	2.287	0.456	0.381
15	False	1.152	1.072	0.922	0.893	5.619	2.379	0.446	0.384
16	False	1.135	1.066	0.923	0.894	5.624	2.375	0.453	0.385
17	False	1.115	1.056	0.924	0.896	5.732	2.402	0.447	0.388
18	False	1.108	1.051	0.925	0.897	5.855	2.42	0.461	0.388
19	False	1.099	1.048	0.926	0.897	5.241	2.3	0.462	0.392
20	False	1.077	1.038	0.927	0.899	5.382	2.331	0.459	0.387
21	False	1.076	1.037	0.927	0.899	5.788	2.415	0.443	0.375
22	False	1.061	1.03	0.928	0.9	5.574	2.372	0.452	0.387
23	False	1.049	1.024	0.929	0.902	5.271	2.305	0.451	0.38
24	True	1.046	1.023	0.929	0.902	5.603	2.373	0.462	0.381
