Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.245	1.499	0.84	0.794	5.489	2.351	0.327	0.311
2	False	1.643	1.282	0.884	0.848	5.782	2.398	0.382	0.37
3	False	1.55	1.245	0.891	0.856	5.632	2.361	0.362	0.351
4	False	1.501	1.225	0.895	0.862	5.059	2.238	0.363	0.359
5	False	1.457	1.207	0.898	0.866	5.251	2.29	0.368	0.357
6	False	1.421	1.192	0.9	0.869	5.252	2.281	0.401	0.391
7	False	1.389	1.178	0.903	0.872	5.583	2.351	0.376	0.36
8	False	1.358	1.166	0.905	0.875	5.15	2.264	0.388	0.384
9	False	1.321	1.15	0.908	0.879	5.204	2.264	0.395	0.391
10	False	1.294	1.137	0.91	0.882	5.179	2.274	0.391	0.368
11	False	1.266	1.125	0.912	0.884	4.971	2.226	0.39	0.372
12	False	1.244	1.115	0.913	0.886	5.394	2.318	0.384	0.372
13	False	1.228	1.108	0.915	0.888	5.022	2.227	0.392	0.384
14	False	1.208	1.099	0.916	0.889	5.266	2.287	0.356	0.349
15	False	1.191	1.091	0.917	0.891	4.954	2.215	0.394	0.369
16	False	1.175	1.084	0.919	0.892	5.174	2.26	0.391	0.362
17	False	1.159	1.076	0.92	0.894	5.235	2.283	0.385	0.36
18	False	1.15	1.072	0.92	0.894	5.136	2.248	0.403	0.382
19	False	1.13	1.063	0.922	0.896	4.973	2.223	0.389	0.373
20	False	1.123	1.06	0.922	0.896	5.315	2.293	0.37	0.359
21	False	1.111	1.054	0.923	0.897	5.235	2.277	0.388	0.369
22	False	1.098	1.048	0.924	0.898	5.027	2.232	0.38	0.355
23	False	1.095	1.046	0.924	0.899	4.946	2.213	0.414	0.384
24	False	1.079	1.039	0.925	0.9	5.024	2.225	0.392	0.374
25	False	1.063	1.031	0.927	0.901	5.126	2.254	0.398	0.372
26	False	1.061	1.03	0.927	0.902	4.961	2.212	0.412	0.385
27	False	1.05	1.025	0.927	0.902	4.943	2.216	0.402	0.368
28	False	1.045	1.022	0.928	0.902	4.818	2.185	0.415	0.391
29	False	1.031	1.015	0.929	0.904	5.103	2.247	0.413	0.389
30	False	1.02	1.01	0.93	0.904	5.044	2.238	0.394	0.359
31	False	1.011	1.006	0.93	0.905	5.071	2.247	0.397	0.372
32	False	1.003	1.002	0.931	0.906	4.977	2.217	0.401	0.375
33	False	1.0	1.0	0.931	0.906	4.855	2.194	0.405	0.377
34	False	0.995	0.998	0.931	0.906	4.774	2.174	0.421	0.392
35	False	0.984	0.992	0.932	0.908	5.009	2.227	0.41	0.382
36	False	0.979	0.989	0.933	0.908	4.747	2.17	0.408	0.379
37	False	0.97	0.985	0.933	0.909	4.847	2.189	0.42	0.386
38	False	0.958	0.979	0.934	0.909	4.869	2.198	0.404	0.377
39	False	0.959	0.979	0.934	0.91	4.957	2.221	0.405	0.376
40	False	0.954	0.977	0.934	0.91	4.858	2.197	0.412	0.38
41	False	0.945	0.972	0.935	0.911	4.727	2.17	0.425	0.382
42	False	0.942	0.971	0.935	0.911	4.817	2.185	0.421	0.388
43	False	0.939	0.969	0.935	0.911	4.795	2.183	0.404	0.363
44	False	0.933	0.966	0.936	0.911	4.901	2.209	0.411	0.38
45	False	0.918	0.958	0.937	0.913	4.653	2.15	0.433	0.398
46	False	0.915	0.956	0.937	0.913	4.717	2.167	0.425	0.398
47	False	0.912	0.955	0.937	0.914	4.787	2.183	0.415	0.378
48	False	0.905	0.951	0.938	0.914	4.751	2.177	0.416	0.381
49	False	0.898	0.948	0.938	0.914	4.761	2.182	0.419	0.381
50	False	0.894	0.946	0.939	0.915	5.046	2.247	0.402	0.371
51	False	0.892	0.945	0.939	0.915	4.688	2.161	0.422	0.381
52	False	0.889	0.943	0.939	0.916	4.859	2.207	0.406	0.373
53	False	0.885	0.941	0.939	0.915	4.899	2.215	0.418	0.387
54	False	0.878	0.937	0.94	0.916	4.835	2.194	0.411	0.384
55	True	0.87	0.933	0.94	0.917	4.898	2.215	0.41	0.372
