Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.208	1.486	0.843	0.797	5.127	2.265	0.408	0.39
2	False	1.637	1.279	0.885	0.849	5.114	2.262	0.413	0.39
3	False	1.54	1.241	0.892	0.857	5.32	2.307	0.445	0.437
4	False	1.476	1.215	0.897	0.863	4.91	2.216	0.443	0.434
5	False	1.441	1.2	0.899	0.866	4.809	2.193	0.434	0.423
6	False	1.391	1.179	0.903	0.871	4.972	2.23	0.421	0.399
7	False	1.353	1.163	0.906	0.875	5.603	2.367	0.418	0.421
8	False	1.333	1.155	0.907	0.877	5.089	2.256	0.428	0.415
9	False	1.292	1.137	0.91	0.881	5.446	2.334	0.378	0.379
10	False	1.268	1.126	0.912	0.883	5.107	2.26	0.393	0.371
11	False	1.234	1.111	0.914	0.886	5.686	2.385	0.402	0.392
12	False	1.215	1.102	0.916	0.888	5.345	2.312	0.403	0.385
13	False	1.2	1.096	0.917	0.889	5.187	2.278	0.369	0.364
14	False	1.18	1.086	0.918	0.891	5.573	2.361	0.386	0.378
15	True	1.166	1.08	0.919	0.893	5.715	2.391	0.344	0.349
