Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.089	1.445	0.847	0.8	7.183	2.69	0.319	0.292
2	False	1.521	1.233	0.889	0.852	6.956	2.641	0.327	0.294
3	False	1.435	1.198	0.896	0.861	7.349	2.715	0.307	0.287
4	False	1.366	1.169	0.901	0.868	7.108	2.679	0.332	0.299
5	False	1.335	1.156	0.904	0.87	7.373	2.715	0.332	0.306
6	False	1.279	1.131	0.908	0.876	7.328	2.711	0.322	0.3
7	False	1.252	1.119	0.91	0.879	7.335	2.711	0.33	0.309
8	False	1.213	1.102	0.913	0.883	7.165	2.686	0.344	0.308
9	False	1.188	1.09	0.915	0.885	7.491	2.737	0.333	0.314
10	False	1.16	1.077	0.917	0.888	7.474	2.743	0.318	0.296
11	False	1.144	1.07	0.918	0.89	7.109	2.677	0.339	0.306
12	True	1.125	1.061	0.919	0.891	7.305	2.709	0.33	0.306
