Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.167	1.472	0.851	0.803	7.635	2.767	0.219	0.19
2	False	1.575	1.255	0.893	0.855	7.309	2.703	0.229	0.181
3	False	1.499	1.224	0.898	0.862	7.506	2.739	0.224	0.188
4	False	1.437	1.199	0.903	0.868	7.486	2.743	0.22	0.18
5	False	1.393	1.18	0.906	0.871	7.585	2.76	0.191	0.152
6	False	1.379	1.175	0.907	0.873	7.569	2.758	0.236	0.181
7	False	1.345	1.16	0.909	0.876	7.945	2.821	0.208	0.182
8	False	1.322	1.15	0.911	0.878	7.685	2.78	0.194	0.159
9	False	1.294	1.137	0.913	0.881	7.771	2.791	0.225	0.191
10	False	1.275	1.129	0.914	0.883	7.268	2.701	0.211	0.169
11	False	1.245	1.116	0.916	0.886	7.43	2.735	0.226	0.184
12	False	1.224	1.106	0.918	0.888	7.483	2.743	0.193	0.155
13	False	1.195	1.093	0.92	0.891	7.592	2.76	0.217	0.183
14	False	1.186	1.089	0.92	0.892	7.332	2.714	0.238	0.206
15	False	1.166	1.08	0.922	0.893	7.045	2.662	0.23	0.187
16	False	1.142	1.069	0.923	0.896	7.021	2.654	0.233	0.187
17	False	1.131	1.064	0.924	0.896	7.524	2.747	0.242	0.211
18	False	1.117	1.057	0.925	0.897	6.96	2.643	0.248	0.208
19	False	1.104	1.051	0.926	0.899	7.578	2.757	0.217	0.187
20	False	1.103	1.05	0.926	0.899	7.096	2.666	0.268	0.23
21	False	1.087	1.042	0.927	0.9	6.924	2.635	0.262	0.219
22	False	1.075	1.037	0.928	0.901	6.846	2.621	0.261	0.22
23	False	1.056	1.028	0.929	0.903	7.033	2.653	0.264	0.223
24	False	1.051	1.025	0.93	0.903	6.899	2.631	0.245	0.196
25	False	1.044	1.022	0.93	0.904	6.863	2.626	0.261	0.213
26	False	1.032	1.016	0.931	0.905	6.947	2.644	0.266	0.212
27	False	1.024	1.012	0.932	0.906	7.018	2.655	0.237	0.192
28	False	1.015	1.007	0.932	0.906	7.015	2.655	0.258	0.208
29	False	1.008	1.004	0.933	0.907	6.83	2.619	0.266	0.207
30	False	1.002	1.001	0.933	0.907	6.801	2.612	0.263	0.219
31	False	0.995	0.997	0.934	0.908	6.939	2.639	0.236	0.192
32	False	0.983	0.991	0.934	0.909	7.161	2.68	0.242	0.206
33	False	0.98	0.99	0.935	0.909	6.964	2.646	0.259	0.213
34	False	0.971	0.985	0.935	0.91	6.782	2.611	0.273	0.229
35	False	0.962	0.981	0.936	0.911	6.9	2.632	0.263	0.233
36	False	0.961	0.98	0.936	0.91	6.688	2.592	0.275	0.235
37	False	0.949	0.974	0.937	0.911	7.059	2.662	0.258	0.221
38	False	0.95	0.974	0.937	0.912	6.832	2.62	0.258	0.211
39	False	0.937	0.968	0.938	0.913	6.877	2.63	0.244	0.212
40	False	0.934	0.966	0.938	0.913	7.213	2.693	0.248	0.204
41	False	0.928	0.964	0.938	0.914	7.014	2.654	0.249	0.213
42	False	0.923	0.961	0.939	0.914	7.106	2.673	0.241	0.197
43	False	0.919	0.959	0.939	0.914	6.997	2.652	0.256	0.214
44	False	0.912	0.955	0.939	0.915	7.241	2.697	0.241	0.201
45	False	0.905	0.951	0.94	0.915	6.874	2.628	0.247	0.217
46	True	0.896	0.947	0.94	0.916	6.79	2.613	0.257	0.204
