Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.186	1.478	0.85	0.804	5.752	2.405	0.418	0.339
2	False	1.576	1.255	0.893	0.856	5.805	2.416	0.428	0.346
3	False	1.497	1.223	0.899	0.863	6.2	2.494	0.393	0.332
4	False	1.444	1.201	0.902	0.868	6.116	2.48	0.419	0.347
5	False	1.413	1.189	0.905	0.871	5.551	2.361	0.443	0.361
6	False	1.376	1.173	0.907	0.874	5.86	2.426	0.436	0.366
7	False	1.34	1.157	0.91	0.878	6.016	2.458	0.435	0.363
8	False	1.303	1.141	0.912	0.882	5.799	2.415	0.421	0.346
9	False	1.278	1.13	0.914	0.884	6.254	2.507	0.431	0.364
10	False	1.253	1.119	0.916	0.887	6.329	2.52	0.426	0.358
11	False	1.228	1.108	0.918	0.889	5.639	2.379	0.439	0.359
12	False	1.203	1.097	0.919	0.891	6.106	2.477	0.428	0.367
13	False	1.182	1.087	0.921	0.893	5.448	2.34	0.445	0.376
14	False	1.163	1.079	0.922	0.894	5.836	2.422	0.433	0.356
15	False	1.146	1.071	0.923	0.896	6.168	2.488	0.428	0.355
16	False	1.134	1.065	0.924	0.897	6.049	2.466	0.427	0.345
17	False	1.11	1.053	0.926	0.898	6.288	2.511	0.414	0.353
18	False	1.107	1.052	0.926	0.899	5.609	2.374	0.434	0.344
19	False	1.089	1.044	0.927	0.9	5.798	2.413	0.437	0.373
20	False	1.08	1.039	0.928	0.901	5.431	2.337	0.445	0.354
21	False	1.064	1.032	0.929	0.902	5.55	2.361	0.447	0.363
22	False	1.055	1.027	0.93	0.903	5.784	2.41	0.438	0.343
23	False	1.043	1.021	0.93	0.904	5.945	2.443	0.424	0.338
24	False	1.03	1.015	0.931	0.905	5.276	2.303	0.462	0.376
25	False	1.014	1.007	0.932	0.906	5.439	2.338	0.438	0.35
26	False	1.0	1.0	0.933	0.908	5.559	2.362	0.447	0.36
27	False	0.996	0.998	0.934	0.908	5.984	2.45	0.43	0.347
28	False	0.987	0.994	0.934	0.909	5.691	2.388	0.457	0.374
29	False	0.98	0.99	0.935	0.909	5.738	2.399	0.433	0.338
30	False	0.967	0.984	0.936	0.91	5.252	2.295	0.454	0.363
31	False	0.967	0.983	0.936	0.91	5.595	2.37	0.442	0.349
32	False	0.955	0.977	0.937	0.911	5.495	2.349	0.442	0.351
33	False	0.946	0.973	0.937	0.912	5.484	2.346	0.449	0.361
34	False	0.941	0.97	0.938	0.912	5.428	2.334	0.449	0.356
35	False	0.938	0.968	0.938	0.912	5.397	2.328	0.448	0.352
36	False	0.933	0.966	0.938	0.913	5.86	2.424	0.43	0.357
37	False	0.918	0.958	0.939	0.914	5.414	2.333	0.456	0.371
38	False	0.919	0.958	0.939	0.914	5.893	2.432	0.436	0.346
39	False	0.909	0.953	0.94	0.915	5.583	2.367	0.433	0.339
40	True	0.903	0.95	0.94	0.915	5.653	2.383	0.437	0.342
