Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.156	1.468	0.85	0.801	8.142	2.863	0.31	0.285
2	False	1.564	1.251	0.892	0.854	6.678	2.589	0.332	0.306
3	False	1.478	1.215	0.899	0.863	7.032	2.655	0.317	0.285
4	False	1.424	1.193	0.902	0.867	6.415	2.533	0.343	0.298
5	False	1.397	1.182	0.904	0.87	6.116	2.477	0.35	0.318
6	False	1.358	1.166	0.907	0.873	6.713	2.596	0.315	0.277
7	False	1.331	1.154	0.909	0.876	6.583	2.567	0.311	0.289
8	False	1.307	1.143	0.911	0.879	6.522	2.556	0.311	0.266
9	False	1.285	1.133	0.912	0.881	6.926	2.637	0.321	0.279
10	False	1.272	1.127	0.913	0.882	6.29	2.511	0.333	0.287
11	False	1.243	1.115	0.915	0.885	6.65	2.58	0.308	0.279
12	False	1.227	1.108	0.917	0.887	6.343	2.521	0.339	0.302
13	False	1.199	1.095	0.919	0.889	6.418	2.538	0.33	0.288
14	False	1.182	1.087	0.92	0.891	6.109	2.472	0.348	0.302
15	False	1.166	1.08	0.921	0.892	6.238	2.495	0.331	0.292
16	False	1.142	1.069	0.923	0.894	6.135	2.478	0.349	0.311
17	False	1.131	1.064	0.923	0.895	6.251	2.503	0.338	0.299
18	False	1.11	1.054	0.925	0.897	5.974	2.446	0.355	0.319
19	False	1.096	1.047	0.926	0.898	6.159	2.481	0.345	0.305
20	False	1.087	1.042	0.927	0.899	6.248	2.497	0.346	0.295
21	False	1.072	1.035	0.928	0.9	6.03	2.456	0.364	0.317
22	False	1.06	1.029	0.928	0.9	6.154	2.484	0.344	0.309
23	False	1.047	1.023	0.929	0.901	6.231	2.497	0.348	0.294
24	False	1.042	1.021	0.93	0.902	6.118	2.474	0.346	0.306
25	False	1.031	1.015	0.93	0.903	6.094	2.469	0.341	0.302
26	False	1.017	1.008	0.931	0.904	6.058	2.459	0.36	0.325
27	False	1.008	1.004	0.932	0.905	6.21	2.491	0.339	0.297
28	True	1.004	1.002	0.932	0.905	6.126	2.473	0.341	0.292
