Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.074	1.44	0.848	0.801	9.189	3.036	0.296	0.263
2	False	1.515	1.231	0.89	0.852	7.094	2.666	0.335	0.273
3	False	1.427	1.195	0.897	0.861	7.608	2.761	0.344	0.315
4	False	1.386	1.177	0.9	0.865	7.284	2.701	0.334	0.292
5	False	1.331	1.154	0.904	0.87	6.792	2.609	0.353	0.302
6	False	1.283	1.133	0.907	0.875	7.917	2.818	0.337	0.294
7	False	1.242	1.114	0.911	0.879	7.017	2.652	0.344	0.315
8	False	1.213	1.101	0.913	0.883	7.053	2.659	0.353	0.308
9	False	1.183	1.088	0.915	0.886	6.861	2.622	0.351	0.321
10	False	1.165	1.079	0.916	0.887	6.851	2.62	0.349	0.302
11	False	1.148	1.071	0.918	0.889	7.077	2.663	0.339	0.31
12	False	1.127	1.062	0.919	0.891	6.644	2.58	0.357	0.323
13	False	1.112	1.055	0.92	0.892	7.017	2.652	0.341	0.294
14	False	1.1	1.049	0.921	0.894	6.834	2.616	0.361	0.324
15	False	1.091	1.044	0.922	0.894	7.114	2.669	0.348	0.313
16	False	1.069	1.034	0.924	0.897	7.03	2.654	0.352	0.324
17	False	1.063	1.031	0.924	0.897	6.451	2.542	0.384	0.343
18	False	1.049	1.024	0.925	0.898	6.653	2.582	0.354	0.325
19	False	1.038	1.019	0.926	0.899	6.54	2.559	0.364	0.323
20	False	1.03	1.015	0.926	0.9	6.507	2.553	0.368	0.324
21	False	1.009	1.004	0.928	0.902	6.906	2.63	0.365	0.341
22	False	1.008	1.004	0.928	0.902	6.585	2.569	0.373	0.336
23	False	0.994	0.997	0.929	0.903	6.677	2.586	0.371	0.331
24	False	0.989	0.994	0.93	0.904	6.823	2.615	0.364	0.336
25	False	0.976	0.988	0.93	0.905	6.546	2.56	0.383	0.351
26	False	0.966	0.983	0.931	0.905	6.685	2.588	0.377	0.333
27	True	0.956	0.978	0.932	0.906	6.465	2.545	0.375	0.342
