Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.164	1.471	0.851	0.803	6.667	2.584	0.328	0.29
2	False	1.566	1.252	0.893	0.855	6.32	2.52	0.366	0.325
3	False	1.471	1.212	0.9	0.865	6.42	2.542	0.385	0.356
4	False	1.425	1.194	0.903	0.868	5.959	2.446	0.392	0.369
5	False	1.384	1.176	0.906	0.872	6.192	2.496	0.372	0.341
6	False	1.35	1.162	0.908	0.876	6.178	2.49	0.386	0.358
7	False	1.322	1.15	0.91	0.879	6.453	2.549	0.357	0.335
8	False	1.292	1.136	0.913	0.881	6.371	2.533	0.362	0.328
9	False	1.273	1.128	0.914	0.883	6.292	2.514	0.38	0.345
10	False	1.249	1.118	0.916	0.885	6.061	2.464	0.378	0.336
11	False	1.228	1.108	0.917	0.887	5.99	2.451	0.384	0.356
12	False	1.201	1.096	0.919	0.89	6.321	2.519	0.366	0.331
13	False	1.186	1.089	0.92	0.891	6.411	2.538	0.349	0.324
14	True	1.16	1.077	0.922	0.893	6.362	2.526	0.351	0.32
