Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.123	1.457	0.845	0.796	7.871	2.815	0.309	0.286
2	False	1.531	1.237	0.889	0.851	6.812	2.617	0.342	0.283
3	False	1.46	1.208	0.894	0.859	8.165	2.868	0.303	0.271
4	False	1.399	1.183	0.899	0.864	7.344	2.721	0.324	0.289
5	False	1.366	1.169	0.902	0.868	7.224	2.7	0.344	0.31
6	False	1.315	1.147	0.905	0.872	8.031	2.846	0.296	0.272
7	False	1.278	1.13	0.908	0.876	7.012	2.658	0.308	0.291
8	False	1.233	1.11	0.912	0.881	6.965	2.649	0.322	0.293
9	False	1.206	1.098	0.914	0.884	6.999	2.657	0.319	0.309
10	False	1.177	1.085	0.916	0.887	7.213	2.699	0.329	0.31
11	False	1.158	1.076	0.917	0.888	7.338	2.721	0.351	0.337
12	True	1.135	1.065	0.919	0.891	7.433	2.738	0.356	0.328
