Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.192	1.481	0.849	0.8	6.853	2.626	0.331	0.301
2	False	1.577	1.256	0.892	0.855	6.654	2.58	0.308	0.281
3	False	1.489	1.22	0.898	0.863	6.471	2.554	0.336	0.306
4	False	1.432	1.197	0.902	0.868	6.652	2.581	0.345	0.332
5	False	1.406	1.186	0.904	0.87	6.67	2.591	0.336	0.319
6	False	1.381	1.175	0.906	0.873	6.485	2.551	0.332	0.316
7	False	1.345	1.16	0.909	0.877	6.465	2.553	0.351	0.327
8	False	1.324	1.15	0.91	0.878	6.298	2.517	0.355	0.329
9	False	1.307	1.143	0.911	0.88	6.39	2.532	0.311	0.288
10	False	1.275	1.129	0.914	0.883	6.61	2.58	0.344	0.314
11	False	1.259	1.122	0.915	0.885	6.469	2.548	0.341	0.326
12	False	1.225	1.107	0.917	0.888	6.004	2.457	0.353	0.327
13	False	1.207	1.099	0.918	0.89	6.538	2.565	0.336	0.306
14	False	1.193	1.093	0.919	0.891	6.015	2.46	0.348	0.317
15	False	1.171	1.082	0.921	0.893	6.341	2.524	0.339	0.306
16	False	1.155	1.075	0.922	0.894	6.019	2.458	0.362	0.314
17	False	1.136	1.066	0.923	0.895	6.175	2.487	0.358	0.306
18	False	1.117	1.057	0.925	0.897	5.971	2.449	0.37	0.334
19	False	1.105	1.051	0.926	0.898	5.959	2.443	0.361	0.325
20	False	1.091	1.044	0.927	0.899	6.322	2.523	0.367	0.325
21	False	1.073	1.036	0.928	0.9	6.006	2.453	0.372	0.334
22	False	1.065	1.032	0.928	0.901	5.963	2.443	0.396	0.349
23	False	1.05	1.025	0.929	0.902	5.84	2.419	0.386	0.345
24	False	1.048	1.024	0.93	0.903	5.972	2.443	0.368	0.326
25	False	1.036	1.018	0.93	0.904	5.843	2.42	0.376	0.32
26	False	1.031	1.015	0.931	0.904	5.855	2.42	0.363	0.315
27	False	1.015	1.008	0.932	0.905	5.932	2.432	0.379	0.328
28	False	1.005	1.002	0.933	0.906	5.828	2.415	0.383	0.341
29	False	0.995	0.998	0.933	0.907	6.038	2.457	0.376	0.322
30	False	0.986	0.993	0.934	0.908	5.894	2.425	0.385	0.335
31	False	0.98	0.989	0.934	0.908	6.016	2.457	0.378	0.327
32	False	0.974	0.987	0.935	0.908	5.907	2.429	0.383	0.33
33	False	0.968	0.984	0.935	0.909	5.918	2.434	0.374	0.325
34	False	0.962	0.981	0.936	0.91	5.735	2.4	0.383	0.325
35	False	0.955	0.977	0.936	0.91	5.836	2.419	0.372	0.331
36	False	0.951	0.975	0.936	0.911	5.796	2.408	0.372	0.326
37	False	0.937	0.968	0.937	0.911	5.799	2.41	0.395	0.344
38	False	0.939	0.969	0.937	0.911	5.723	2.396	0.396	0.344
39	False	0.93	0.965	0.938	0.912	5.846	2.416	0.394	0.339
40	False	0.924	0.961	0.938	0.912	5.711	2.391	0.392	0.348
41	False	0.919	0.959	0.939	0.913	5.868	2.422	0.395	0.34
42	False	0.922	0.96	0.938	0.912	5.687	2.39	0.394	0.341
43	False	0.907	0.952	0.939	0.914	5.87	2.42	0.385	0.344
44	False	0.902	0.95	0.94	0.914	5.781	2.409	0.384	0.34
45	False	0.9	0.949	0.94	0.914	5.715	2.39	0.402	0.349
46	False	0.898	0.947	0.94	0.914	5.727	2.389	0.402	0.359
47	False	0.888	0.942	0.941	0.915	5.735	2.394	0.382	0.332
48	False	0.884	0.94	0.941	0.916	5.673	2.378	0.391	0.356
49	False	0.884	0.94	0.941	0.916	6.018	2.457	0.37	0.317
50	False	0.87	0.933	0.942	0.917	6.077	2.464	0.373	0.33
51	False	0.873	0.934	0.942	0.917	5.794	2.408	0.38	0.334
52	False	0.861	0.928	0.943	0.917	5.833	2.42	0.373	0.323
53	False	0.858	0.926	0.943	0.918	5.792	2.406	0.385	0.343
54	False	0.856	0.925	0.943	0.918	5.687	2.389	0.4	0.354
55	False	0.857	0.926	0.943	0.918	5.802	2.41	0.383	0.335
56	False	0.842	0.918	0.944	0.919	5.969	2.441	0.372	0.324
57	False	0.842	0.917	0.944	0.919	6.061	2.456	0.37	0.319
58	True	0.833	0.912	0.945	0.92	5.737	2.394	0.393	0.338
