Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.236	1.496	0.842	0.796	4.853	2.209	0.413	0.391
2	False	1.619	1.272	0.887	0.851	5.025	2.248	0.408	0.401
3	False	1.521	1.233	0.894	0.86	5.283	2.304	0.416	0.392
4	False	1.465	1.211	0.898	0.866	5.239	2.293	0.396	0.387
5	False	1.429	1.195	0.901	0.869	5.285	2.305	0.402	0.39
6	False	1.392	1.18	0.903	0.872	4.883	2.216	0.425	0.4
7	False	1.366	1.169	0.905	0.875	4.997	2.24	0.409	0.376
8	False	1.327	1.152	0.908	0.879	5.383	2.324	0.408	0.394
9	False	1.293	1.137	0.91	0.883	5.037	2.249	0.38	0.376
10	False	1.266	1.124	0.913	0.885	5.258	2.299	0.405	0.383
11	True	1.241	1.114	0.914	0.887	5.031	2.248	0.403	0.382
