Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.161	1.47	0.852	0.806	7.702	2.775	0.193	0.151
2	False	1.566	1.252	0.894	0.856	8.514	2.916	0.188	0.15
3	False	1.473	1.214	0.9	0.865	7.457	2.731	0.206	0.159
4	False	1.425	1.194	0.904	0.87	7.262	2.694	0.164	0.123
5	False	1.392	1.18	0.906	0.872	7.5	2.739	0.207	0.152
6	False	1.35	1.162	0.909	0.876	7.645	2.764	0.188	0.14
7	False	1.327	1.152	0.911	0.879	7.538	2.745	0.188	0.148
8	False	1.305	1.142	0.912	0.881	7.912	2.813	0.188	0.162
9	False	1.275	1.13	0.914	0.884	7.214	2.686	0.207	0.161
10	False	1.255	1.12	0.916	0.886	7.177	2.679	0.21	0.165
11	False	1.229	1.109	0.918	0.889	7.789	2.791	0.196	0.134
12	False	1.215	1.103	0.918	0.89	7.714	2.776	0.177	0.141
13	False	1.199	1.094	0.92	0.891	7.165	2.677	0.187	0.141
14	False	1.173	1.083	0.922	0.894	7.383	2.716	0.217	0.162
15	False	1.163	1.076	0.922	0.895	7.344	2.71	0.189	0.141
16	False	1.147	1.071	0.923	0.896	7.267	2.696	0.19	0.143
17	False	1.135	1.065	0.924	0.897	7.463	2.732	0.213	0.155
18	False	1.124	1.06	0.925	0.898	7.097	2.665	0.231	0.172
19	False	1.103	1.05	0.926	0.9	7.374	2.715	0.198	0.137
20	False	1.098	1.048	0.927	0.9	7.002	2.645	0.215	0.155
21	False	1.089	1.043	0.927	0.901	7.191	2.681	0.212	0.168
22	False	1.067	1.033	0.929	0.903	7.571	2.75	0.225	0.174
23	False	1.067	1.033	0.929	0.903	7.095	2.664	0.209	0.155
24	False	1.053	1.026	0.93	0.904	6.895	2.626	0.215	0.146
25	False	1.047	1.023	0.93	0.904	7.242	2.69	0.228	0.171
26	False	1.037	1.017	0.931	0.906	7.506	2.738	0.207	0.148
27	False	1.028	1.013	0.932	0.906	7.398	2.719	0.213	0.173
28	False	1.023	1.012	0.932	0.906	7.228	2.688	0.218	0.159
29	False	1.007	1.003	0.933	0.908	7.09	2.661	0.227	0.168
30	False	1.004	1.002	0.933	0.908	7.256	2.694	0.202	0.163
31	False	0.99	0.994	0.934	0.909	7.227	2.687	0.204	0.159
32	False	0.991	0.995	0.934	0.909	7.132	2.671	0.232	0.163
33	False	0.974	0.987	0.935	0.91	7.208	2.686	0.198	0.153
34	True	0.97	0.984	0.936	0.911	7.285	2.699	0.21	0.164
