Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.186	1.479	0.849	0.8	7.997	2.831	0.332	0.301
2	False	1.561	1.25	0.893	0.855	6.766	2.603	0.339	0.29
3	False	1.483	1.217	0.899	0.863	6.285	2.509	0.367	0.326
4	False	1.426	1.194	0.903	0.867	6.757	2.602	0.365	0.335
5	False	1.393	1.18	0.905	0.871	6.31	2.514	0.373	0.327
6	False	1.364	1.168	0.907	0.874	6.214	2.495	0.376	0.347
7	False	1.331	1.154	0.91	0.877	6.071	2.466	0.405	0.363
8	False	1.315	1.147	0.911	0.879	5.985	2.448	0.388	0.348
9	False	1.282	1.132	0.913	0.882	5.884	2.427	0.383	0.344
10	False	1.261	1.123	0.915	0.883	6.133	2.479	0.388	0.361
11	False	1.236	1.112	0.916	0.886	5.998	2.45	0.403	0.373
12	False	1.213	1.101	0.918	0.888	6.313	2.515	0.365	0.33
13	False	1.191	1.091	0.919	0.89	6.496	2.55	0.362	0.328
14	False	1.173	1.083	0.921	0.892	6.511	2.554	0.394	0.356
15	False	1.151	1.073	0.922	0.894	6.295	2.51	0.368	0.326
16	False	1.133	1.064	0.924	0.895	6.02	2.456	0.377	0.331
17	False	1.116	1.057	0.925	0.896	6.217	2.496	0.376	0.341
18	False	1.103	1.051	0.926	0.898	6.234	2.499	0.381	0.342
19	True	1.098	1.048	0.926	0.898	6.204	2.492	0.389	0.345
