Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.15	1.466	0.853	0.807	7.676	2.765	0.231	0.208
2	False	1.563	1.25	0.894	0.857	7.865	2.802	0.219	0.208
3	False	1.468	1.212	0.901	0.866	7.398	2.719	0.209	0.182
4	False	1.425	1.194	0.904	0.87	7.868	2.805	0.174	0.179
5	False	1.395	1.181	0.906	0.873	7.376	2.712	0.219	0.195
6	False	1.354	1.163	0.909	0.877	7.646	2.764	0.199	0.17
7	False	1.33	1.153	0.91	0.879	7.829	2.805	0.187	0.153
8	False	1.311	1.145	0.912	0.88	7.494	2.735	0.209	0.197
9	False	1.274	1.129	0.914	0.884	7.935	2.815	0.172	0.148
10	False	1.253	1.12	0.916	0.886	7.871	2.804	0.163	0.141
11	False	1.235	1.111	0.917	0.888	7.439	2.726	0.193	0.159
12	False	1.209	1.099	0.919	0.89	7.352	2.713	0.22	0.181
13	False	1.187	1.089	0.92	0.892	7.849	2.804	0.178	0.147
14	False	1.165	1.079	0.922	0.894	7.238	2.693	0.205	0.169
15	False	1.149	1.072	0.923	0.896	7.762	2.788	0.205	0.169
16	False	1.138	1.067	0.924	0.897	7.168	2.676	0.197	0.167
17	False	1.126	1.061	0.925	0.898	7.514	2.737	0.19	0.164
18	False	1.109	1.053	0.926	0.899	7.592	2.749	0.196	0.176
19	False	1.104	1.051	0.926	0.9	7.375	2.706	0.223	0.19
20	False	1.084	1.041	0.928	0.901	7.197	2.677	0.206	0.175
21	False	1.074	1.037	0.928	0.902	6.988	2.639	0.225	0.196
22	False	1.066	1.033	0.929	0.903	7.277	2.69	0.219	0.192
23	False	1.054	1.027	0.93	0.904	6.992	2.637	0.243	0.198
24	False	1.042	1.021	0.931	0.905	7.231	2.687	0.212	0.175
25	False	1.044	1.022	0.93	0.904	7.331	2.701	0.194	0.167
26	False	1.027	1.013	0.932	0.906	7.081	2.655	0.213	0.174
27	False	1.015	1.008	0.932	0.907	7.227	2.681	0.23	0.188
28	False	1.011	1.006	0.933	0.907	7.141	2.657	0.254	0.219
29	False	1.006	1.003	0.933	0.908	7.167	2.673	0.218	0.176
30	False	0.998	0.999	0.934	0.908	7.258	2.685	0.235	0.2
31	False	0.995	0.997	0.934	0.908	6.929	2.627	0.23	0.181
32	False	0.982	0.991	0.935	0.909	7.421	2.713	0.221	0.179
33	False	0.97	0.985	0.936	0.911	6.989	2.639	0.227	0.184
34	False	0.963	0.981	0.936	0.911	7.346	2.699	0.214	0.168
35	False	0.958	0.979	0.936	0.912	7.156	2.673	0.214	0.169
36	False	0.947	0.973	0.937	0.912	6.732	2.59	0.248	0.205
37	False	0.945	0.972	0.937	0.913	6.995	2.638	0.243	0.207
38	False	0.939	0.969	0.938	0.913	6.863	2.613	0.257	0.209
39	False	0.934	0.966	0.938	0.913	7.016	2.645	0.215	0.167
40	False	0.933	0.966	0.938	0.913	7.222	2.676	0.218	0.179
41	False	0.916	0.957	0.939	0.915	7.035	2.642	0.232	0.191
42	False	0.916	0.957	0.939	0.915	7.382	2.709	0.208	0.182
43	False	0.911	0.954	0.94	0.915	7.146	2.67	0.208	0.161
44	False	0.907	0.953	0.94	0.915	7.003	2.641	0.22	0.168
45	False	0.9	0.948	0.94	0.916	6.864	2.609	0.242	0.197
46	True	0.883	0.94	0.941	0.917	7.242	2.685	0.238	0.187
