Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.153	1.468	0.852	0.803	7.512	2.735	0.226	0.206
2	False	1.545	1.243	0.895	0.857	7.919	2.804	0.221	0.197
3	False	1.44	1.2	0.902	0.866	7.445	2.721	0.246	0.203
4	False	1.4	1.183	0.905	0.87	7.602	2.757	0.18	0.171
5	False	1.366	1.169	0.907	0.873	7.399	2.722	0.171	0.147
6	False	1.338	1.157	0.909	0.876	7.797	2.792	0.177	0.168
7	False	1.308	1.143	0.911	0.879	7.46	2.726	0.211	0.191
8	False	1.277	1.13	0.914	0.882	7.624	2.765	0.191	0.164
9	False	1.264	1.124	0.915	0.883	7.812	2.785	0.205	0.185
10	False	1.234	1.111	0.917	0.886	7.173	2.676	0.241	0.22
11	False	1.207	1.099	0.919	0.889	7.636	2.765	0.176	0.146
12	False	1.183	1.088	0.92	0.891	7.179	2.682	0.214	0.182
13	False	1.169	1.081	0.921	0.892	7.16	2.683	0.208	0.174
14	False	1.15	1.073	0.922	0.894	6.753	2.607	0.193	0.154
15	False	1.137	1.066	0.923	0.895	7.533	2.751	0.213	0.185
16	False	1.117	1.057	0.925	0.897	7.735	2.783	0.213	0.184
17	False	1.112	1.054	0.925	0.897	6.978	2.643	0.228	0.18
18	False	1.096	1.047	0.926	0.899	7.671	2.771	0.21	0.177
19	False	1.078	1.038	0.928	0.901	7.121	2.67	0.2	0.158
20	False	1.074	1.036	0.928	0.901	7.032	2.651	0.239	0.201
21	False	1.06	1.03	0.929	0.902	6.841	2.616	0.253	0.195
22	False	1.052	1.025	0.929	0.903	6.707	2.594	0.222	0.182
23	False	1.033	1.017	0.931	0.904	7.515	2.736	0.218	0.187
24	False	1.032	1.016	0.931	0.904	6.645	2.585	0.256	0.211
25	False	1.017	1.008	0.932	0.906	6.698	2.592	0.247	0.198
26	False	1.011	1.005	0.932	0.906	6.65	2.588	0.241	0.209
27	False	0.995	0.998	0.933	0.908	6.653	2.582	0.256	0.204
28	False	0.991	0.995	0.934	0.908	6.705	2.594	0.263	0.213
29	False	0.982	0.991	0.934	0.908	6.583	2.567	0.276	0.227
30	False	0.971	0.985	0.935	0.909	6.724	2.596	0.262	0.215
31	False	0.969	0.984	0.935	0.91	6.712	2.596	0.254	0.199
32	False	0.959	0.979	0.936	0.91	6.613	2.575	0.253	0.205
33	False	0.951	0.975	0.936	0.911	6.727	2.6	0.25	0.194
34	False	0.947	0.973	0.937	0.911	6.894	2.626	0.257	0.218
35	False	0.943	0.971	0.937	0.912	6.593	2.572	0.273	0.23
36	False	0.938	0.968	0.937	0.912	6.805	2.61	0.275	0.217
37	False	0.924	0.961	0.938	0.913	6.476	2.55	0.277	0.222
38	False	0.918	0.958	0.939	0.914	6.987	2.643	0.257	0.201
39	False	0.914	0.956	0.939	0.914	6.688	2.592	0.237	0.192
40	False	0.918	0.958	0.939	0.914	6.818	2.616	0.243	0.187
41	False	0.904	0.951	0.94	0.914	6.637	2.582	0.256	0.198
42	False	0.9	0.949	0.94	0.915	6.737	2.601	0.262	0.21
43	False	0.891	0.944	0.941	0.916	6.699	2.589	0.251	0.207
44	False	0.888	0.942	0.941	0.916	6.914	2.633	0.243	0.186
45	False	0.877	0.937	0.941	0.917	7.003	2.649	0.254	0.196
46	False	0.876	0.936	0.942	0.917	6.689	2.595	0.264	0.201
47	True	0.871	0.934	0.942	0.917	6.839	2.617	0.258	0.208
