Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.234	1.495	0.84	0.793	5.437	2.337	0.405	0.389
2	False	1.636	1.279	0.884	0.847	5.052	2.252	0.421	0.409
3	False	1.544	1.242	0.891	0.856	5.38	2.321	0.412	0.407
4	False	1.481	1.217	0.896	0.862	4.813	2.196	0.424	0.41
5	False	1.445	1.202	0.898	0.865	5.207	2.284	0.46	0.431
6	False	1.405	1.185	0.901	0.869	5.389	2.323	0.431	0.408
7	False	1.359	1.166	0.905	0.873	4.827	2.198	0.424	0.401
8	False	1.33	1.153	0.907	0.876	5.093	2.257	0.404	0.383
9	False	1.294	1.138	0.909	0.879	5.192	2.281	0.368	0.354
10	False	1.273	1.128	0.911	0.882	4.974	2.232	0.408	0.386
11	False	1.248	1.117	0.913	0.884	5.244	2.293	0.41	0.385
12	False	1.233	1.111	0.914	0.886	4.936	2.222	0.406	0.389
13	False	1.21	1.1	0.916	0.887	5.404	2.328	0.381	0.362
14	True	1.187	1.09	0.917	0.89	5.252	2.295	0.404	0.389
