Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.985	1.409	0.854	0.811	1.475	1.216	0.896	0.861
2	False	1.517	1.232	0.89	0.856	1.648	1.286	0.891	0.854
3	False	1.444	1.202	0.895	0.863	1.338	1.158	0.904	0.873
4	False	1.397	1.182	0.899	0.867	1.332	1.156	0.907	0.877
5	False	1.346	1.16	0.903	0.872	1.263	1.126	0.912	0.884
6	False	1.307	1.143	0.906	0.876	1.242	1.116	0.912	0.884
7	False	1.259	1.122	0.909	0.881	1.222	1.105	0.914	0.885
8	False	1.226	1.107	0.912	0.884	1.154	1.075	0.918	0.892
9	False	1.19	1.091	0.914	0.888	1.154	1.074	0.922	0.896
10	False	1.169	1.081	0.916	0.889	1.1	1.05	0.922	0.895
11	False	1.141	1.068	0.918	0.892	1.064	1.033	0.925	0.899
12	False	1.124	1.06	0.919	0.894	1.063	1.032	0.925	0.901
13	False	1.106	1.052	0.921	0.895	1.032	1.017	0.927	0.903
14	False	1.09	1.044	0.922	0.897	1.022	1.012	0.928	0.903
15	False	1.071	1.035	0.923	0.898	1.053	1.027	0.929	0.905
16	False	1.055	1.027	0.925	0.9	0.997	1.0	0.93	0.906
17	False	1.048	1.024	0.925	0.9	0.996	1.0	0.931	0.907
18	False	1.036	1.018	0.926	0.901	0.988	0.995	0.93	0.907
19	False	1.02	1.01	0.927	0.903	0.956	0.979	0.932	0.91
20	False	1.011	1.006	0.928	0.904	0.954	0.978	0.933	0.909
21	False	1.0	1.0	0.929	0.905	0.941	0.971	0.934	0.911
22	False	0.99	0.995	0.929	0.905	0.928	0.964	0.934	0.912
23	False	0.982	0.991	0.93	0.906	0.917	0.959	0.935	0.912
24	False	0.972	0.986	0.931	0.907	0.93	0.966	0.935	0.912
25	False	0.967	0.983	0.931	0.907	0.91	0.955	0.936	0.914
26	False	0.957	0.978	0.932	0.908	0.899	0.949	0.936	0.914
27	False	0.945	0.972	0.933	0.909	0.916	0.958	0.937	0.915
