Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.982	1.408	0.854	0.811	1.544	1.244	0.895	0.862
2	False	1.519	1.233	0.889	0.855	1.897	1.38	0.898	0.866
3	False	1.445	1.202	0.895	0.862	1.379	1.176	0.902	0.87
4	False	1.396	1.181	0.899	0.867	1.364	1.166	0.904	0.873
5	False	1.355	1.164	0.902	0.871	1.305	1.144	0.909	0.879
6	False	1.313	1.146	0.905	0.875	1.274	1.13	0.911	0.882
7	False	1.268	1.126	0.909	0.88	1.243	1.116	0.912	0.882
8	False	1.226	1.107	0.912	0.884	1.306	1.144	0.916	0.888
9	False	1.201	1.096	0.914	0.886	1.126	1.061	0.92	0.894
10	False	1.169	1.081	0.916	0.89	1.109	1.054	0.922	0.896
11	False	1.147	1.071	0.918	0.891	1.126	1.062	0.922	0.897
12	False	1.131	1.063	0.919	0.893	1.124	1.062	0.923	0.896
13	False	1.112	1.054	0.92	0.894	1.075	1.038	0.924	0.9
14	False	1.095	1.046	0.922	0.896	1.029	1.015	0.928	0.903
15	False	1.077	1.038	0.923	0.898	1.017	1.01	0.928	0.904
16	False	1.063	1.031	0.924	0.899	1.007	1.004	0.929	0.904
17	False	1.051	1.025	0.925	0.9	0.978	0.99	0.931	0.907
18	False	1.036	1.018	0.926	0.901	0.964	0.983	0.932	0.909
19	False	1.025	1.012	0.927	0.902	0.981	0.991	0.932	0.908
20	False	1.013	1.006	0.928	0.903	0.978	0.99	0.932	0.908
21	False	1.003	1.001	0.928	0.904	0.951	0.976	0.934	0.91
22	False	0.996	0.998	0.929	0.905	0.942	0.972	0.933	0.91
23	False	0.981	0.99	0.93	0.906	0.923	0.961	0.935	0.912
24	False	0.972	0.986	0.931	0.907	0.937	0.969	0.934	0.91
25	False	0.967	0.983	0.931	0.907	0.925	0.963	0.935	0.912
26	False	0.956	0.978	0.932	0.908	0.905	0.952	0.936	0.914
27	False	0.948	0.973	0.933	0.909	0.911	0.955	0.936	0.914
28	False	0.938	0.968	0.933	0.91	0.951	0.975	0.937	0.915
29	False	0.932	0.965	0.934	0.91	0.886	0.942	0.938	0.916
30	False	0.925	0.962	0.934	0.911	0.891	0.945	0.937	0.915
31	False	0.918	0.958	0.935	0.911	0.885	0.942	0.938	0.916
