Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.981	1.408	0.854	0.812	1.597	1.264	0.895	0.86
2	False	1.525	1.235	0.889	0.855	1.348	1.163	0.903	0.872
3	False	1.451	1.205	0.895	0.862	1.32	1.151	0.907	0.878
4	False	1.41	1.187	0.898	0.866	1.267	1.127	0.91	0.88
5	False	1.363	1.168	0.902	0.871	1.282	1.134	0.909	0.877
6	False	1.322	1.15	0.905	0.874	1.249	1.119	0.914	0.886
7	False	1.281	1.132	0.908	0.879	1.224	1.108	0.917	0.89
8	False	1.241	1.114	0.911	0.883	1.15	1.074	0.922	0.896
9	False	1.209	1.1	0.913	0.886	1.16	1.079	0.922	0.896
10	False	1.181	1.087	0.915	0.889	1.07	1.035	0.924	0.899
11	False	1.154	1.074	0.917	0.891	1.101	1.051	0.925	0.9
12	False	1.135	1.065	0.919	0.892	1.054	1.027	0.927	0.902
13	False	1.114	1.056	0.92	0.894	1.014	1.008	0.93	0.906
14	False	1.1	1.049	0.921	0.896	0.99	0.996	0.93	0.906
15	False	1.078	1.038	0.923	0.898	0.997	1.0	0.93	0.906
16	False	1.065	1.032	0.924	0.899	1.019	1.01	0.931	0.907
17	False	1.053	1.026	0.925	0.9	0.972	0.987	0.932	0.909
18	False	1.039	1.019	0.926	0.901	0.968	0.985	0.934	0.911
19	False	1.026	1.013	0.927	0.902	0.982	0.992	0.933	0.91
20	False	1.017	1.009	0.928	0.903	0.948	0.972	0.934	0.912
21	False	1.008	1.004	0.928	0.904	0.925	0.963	0.935	0.911
22	False	0.998	0.999	0.929	0.905	0.962	0.982	0.934	0.911
23	False	0.988	0.994	0.93	0.905	0.906	0.953	0.936	0.914
24	False	0.979	0.989	0.93	0.906	0.912	0.956	0.937	0.915
25	False	0.971	0.985	0.931	0.907	0.892	0.945	0.937	0.915
26	False	0.962	0.981	0.932	0.908	0.906	0.953	0.937	0.915
27	False	0.951	0.975	0.932	0.909	0.893	0.946	0.939	0.917
28	False	0.943	0.971	0.933	0.909	0.867	0.932	0.939	0.917
29	False	0.939	0.969	0.933	0.91	0.883	0.941	0.939	0.917
30	False	0.931	0.965	0.934	0.91	0.864	0.931	0.94	0.918
31	False	0.923	0.961	0.934	0.911	0.857	0.927	0.94	0.918
32	False	0.918	0.958	0.935	0.912	0.855	0.926	0.94	0.919
33	False	0.908	0.953	0.936	0.912	0.841	0.918	0.941	0.919
34	False	0.902	0.95	0.936	0.913	0.845	0.921	0.941	0.92
