Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.976	1.406	0.854	0.812	1.464	1.212	0.893	0.862
2	False	1.522	1.234	0.889	0.855	1.374	1.174	0.9	0.87
3	False	1.448	1.203	0.895	0.862	1.332	1.156	0.903	0.871
4	False	1.392	1.18	0.899	0.868	1.297	1.14	0.907	0.878
5	False	1.345	1.16	0.903	0.872	1.326	1.153	0.91	0.882
6	False	1.305	1.142	0.906	0.876	1.214	1.103	0.913	0.886
7	False	1.263	1.124	0.909	0.88	1.189	1.091	0.914	0.888
8	False	1.23	1.109	0.912	0.884	1.125	1.062	0.919	0.894
9	False	1.2	1.095	0.914	0.887	1.131	1.064	0.92	0.895
10	False	1.171	1.082	0.916	0.89	1.153	1.075	0.919	0.895
11	False	1.153	1.074	0.917	0.891	1.162	1.078	0.922	0.898
12	False	1.136	1.066	0.919	0.893	1.063	1.032	0.924	0.901
13	False	1.117	1.057	0.92	0.894	1.09	1.045	0.925	0.901
14	False	1.093	1.046	0.922	0.896	1.018	1.01	0.927	0.905
15	False	1.075	1.037	0.923	0.898	1.016	1.009	0.929	0.906
16	False	1.063	1.031	0.924	0.899	1.02	1.011	0.929	0.906
17	False	1.05	1.025	0.925	0.9	1.002	1.002	0.929	0.907
18	False	1.039	1.019	0.926	0.901	0.992	0.996	0.929	0.906
19	False	1.023	1.012	0.927	0.902	0.976	0.988	0.931	0.909
20	False	1.015	1.008	0.928	0.903	0.953	0.977	0.932	0.91
21	False	1.002	1.001	0.929	0.904	0.944	0.971	0.932	0.911
22	False	0.992	0.996	0.929	0.905	0.941	0.971	0.933	0.911
23	False	0.986	0.993	0.93	0.905	0.931	0.966	0.934	0.911
24	False	0.975	0.987	0.931	0.907	0.96	0.981	0.935	0.913
25	False	0.967	0.983	0.931	0.907	0.919	0.96	0.934	0.913
26	False	0.959	0.979	0.932	0.908	0.896	0.947	0.936	0.915
27	False	0.95	0.975	0.932	0.909	0.901	0.95	0.936	0.915
28	False	0.941	0.97	0.933	0.909	0.885	0.942	0.937	0.916
29	False	0.934	0.966	0.934	0.91	0.892	0.945	0.937	0.916
30	False	0.926	0.962	0.934	0.911	0.868	0.932	0.938	0.917
31	False	0.924	0.961	0.934	0.911	0.869	0.933	0.938	0.917
32	False	0.917	0.957	0.935	0.912	0.865	0.931	0.938	0.917
33	False	0.911	0.955	0.935	0.912	0.87	0.934	0.938	0.917
34	False	0.902	0.95	0.936	0.913	0.865	0.931	0.938	0.918
35	False	0.893	0.945	0.937	0.913	0.852	0.924	0.939	0.919
36	False	0.889	0.943	0.937	0.914	0.881	0.939	0.939	0.918
37	False	0.886	0.941	0.937	0.914	0.854	0.925	0.94	0.92
38	False	0.875	0.936	0.938	0.915	0.834	0.914	0.94	0.92
39	False	0.879	0.937	0.938	0.915	0.84	0.917	0.94	0.92
40	False	0.867	0.931	0.939	0.916	0.851	0.923	0.941	0.921
41	False	0.864	0.929	0.939	0.916	0.833	0.914	0.941	0.921
42	False	0.858	0.926	0.939	0.917	0.828	0.91	0.941	0.921
43	False	0.851	0.922	0.94	0.917	0.826	0.909	0.942	0.922
44	False	0.85	0.922	0.94	0.917	0.817	0.904	0.942	0.922
45	False	0.842	0.918	0.94	0.918	0.822	0.906	0.942	0.922
46	False	0.839	0.916	0.941	0.918	0.819	0.906	0.942	0.923
47	False	0.832	0.912	0.941	0.919	0.834	0.914	0.942	0.922
48	False	0.83	0.911	0.941	0.919	0.814	0.903	0.942	0.922
49	False	0.826	0.909	0.942	0.92	0.812	0.902	0.943	0.924
50	False	0.821	0.906	0.942	0.92	0.795	0.892	0.944	0.924
51	False	0.816	0.903	0.942	0.92	0.798	0.894	0.944	0.924
52	False	0.812	0.901	0.943	0.92	0.785	0.887	0.944	0.925
53	False	0.81	0.9	0.943	0.921	0.791	0.889	0.944	0.925
54	False	0.804	0.897	0.943	0.921	0.783	0.886	0.944	0.925
55	False	0.803	0.896	0.943	0.921	0.79	0.889	0.944	0.925
56	False	0.796	0.892	0.944	0.922	0.797	0.893	0.944	0.925
57	False	0.793	0.891	0.944	0.922	0.786	0.887	0.944	0.925
58	False	0.791	0.889	0.944	0.923	0.786	0.887	0.944	0.925
59	False	0.787	0.887	0.944	0.923	0.773	0.879	0.945	0.926
60	False	0.788	0.888	0.944	0.923	0.77	0.877	0.945	0.927
61	False	0.78	0.883	0.945	0.923	0.78	0.882	0.945	0.926
62	False	0.779	0.883	0.945	0.924	0.784	0.886	0.945	0.927
63	False	0.776	0.881	0.945	0.924	0.761	0.873	0.946	0.927
64	False	0.768	0.877	0.946	0.924	0.77	0.877	0.945	0.927
65	False	0.772	0.878	0.945	0.924	0.756	0.87	0.946	0.928
66	False	0.768	0.876	0.946	0.925	0.759	0.872	0.946	0.927
67	False	0.76	0.872	0.946	0.925	0.755	0.869	0.946	0.928
68	False	0.762	0.873	0.946	0.925	0.762	0.873	0.947	0.928
69	False	0.758	0.871	0.946	0.926	0.755	0.869	0.946	0.928
70	False	0.753	0.868	0.947	0.926	0.754	0.869	0.946	0.928
71	False	0.756	0.869	0.947	0.926	0.781	0.884	0.946	0.927
72	False	0.749	0.866	0.947	0.926	0.762	0.874	0.946	0.928
73	False	0.747	0.864	0.947	0.927	0.766	0.876	0.947	0.928
74	False	0.747	0.864	0.947	0.926	0.763	0.873	0.947	0.928
75	False	0.742	0.861	0.948	0.927	0.743	0.863	0.947	0.929
76	False	0.74	0.861	0.948	0.927	0.757	0.87	0.947	0.929
77	False	0.735	0.857	0.948	0.927	0.741	0.861	0.947	0.929
78	False	0.736	0.858	0.948	0.927	0.738	0.859	0.948	0.929
79	False	0.729	0.854	0.949	0.928	0.751	0.867	0.947	0.929
80	False	0.728	0.854	0.949	0.928	0.746	0.864	0.948	0.929
81	False	0.726	0.852	0.949	0.928	0.742	0.862	0.947	0.929
82	False	0.725	0.851	0.949	0.928	0.743	0.862	0.947	0.929
83	False	0.724	0.851	0.949	0.929	0.741	0.861	0.947	0.929
84	False	0.725	0.852	0.949	0.928	0.746	0.864	0.948	0.929
85	False	0.72	0.848	0.949	0.929	0.738	0.859	0.948	0.93
86	False	0.723	0.85	0.949	0.929	0.756	0.87	0.947	0.929
87	False	0.716	0.846	0.95	0.929	0.73	0.855	0.949	0.93
88	False	0.71	0.843	0.95	0.93	0.729	0.854	0.948	0.93
89	False	0.716	0.846	0.95	0.929	0.742	0.862	0.948	0.93
90	False	0.705	0.84	0.95	0.93	0.736	0.858	0.948	0.929
91	False	0.712	0.844	0.95	0.93	0.736	0.858	0.948	0.93
92	False	0.705	0.84	0.95	0.93	0.734	0.857	0.948	0.93
93	False	0.704	0.839	0.95	0.93	0.742	0.862	0.949	0.931
94	False	0.705	0.839	0.95	0.93	0.737	0.859	0.949	0.931
95	False	0.701	0.837	0.951	0.931	0.727	0.853	0.949	0.931
96	False	0.696	0.834	0.951	0.931	0.716	0.846	0.949	0.931
97	False	0.695	0.834	0.951	0.931	0.733	0.857	0.948	0.93
98	False	0.696	0.834	0.951	0.931	0.728	0.853	0.949	0.931
99	False	0.693	0.832	0.951	0.931	0.723	0.851	0.949	0.931
100	False	0.695	0.834	0.951	0.931	0.715	0.846	0.949	0.931
101	False	0.689	0.83	0.951	0.932	0.721	0.85	0.949	0.931
102	False	0.687	0.829	0.952	0.932	0.724	0.851	0.949	0.932
103	False	0.686	0.828	0.952	0.932	0.722	0.85	0.949	0.931
104	False	0.684	0.827	0.952	0.932	0.715	0.846	0.949	0.931
105	False	0.682	0.826	0.952	0.932	0.719	0.848	0.949	0.932
106	False	0.683	0.826	0.952	0.932	0.708	0.841	0.95	0.932
107	False	0.681	0.825	0.952	0.933	0.719	0.848	0.949	0.932
108	False	0.678	0.823	0.952	0.933	0.721	0.85	0.949	0.932
109	False	0.679	0.824	0.952	0.933	0.715	0.846	0.95	0.932
110	False	0.674	0.821	0.953	0.933	0.721	0.848	0.949	0.931
111	False	0.678	0.824	0.952	0.933	0.724	0.851	0.95	0.932
112	False	0.676	0.822	0.952	0.933	0.717	0.847	0.95	0.932
113	False	0.673	0.82	0.953	0.933	0.722	0.85	0.949	0.931
114	False	0.675	0.821	0.952	0.933	0.71	0.843	0.95	0.932
115	False	0.67	0.819	0.953	0.934	0.709	0.842	0.95	0.932
116	False	0.669	0.818	0.953	0.934	0.707	0.84	0.95	0.933
117	False	0.672	0.819	0.953	0.933	0.713	0.845	0.95	0.932
118	False	0.669	0.818	0.953	0.934	0.703	0.839	0.95	0.933
119	False	0.666	0.816	0.953	0.934	0.708	0.841	0.95	0.932
120	False	0.662	0.814	0.953	0.934	0.727	0.853	0.95	0.932
121	False	0.663	0.814	0.953	0.934	0.721	0.85	0.95	0.932
122	False	0.659	0.811	0.954	0.935	0.705	0.84	0.95	0.933
123	False	0.663	0.814	0.953	0.934	0.697	0.835	0.951	0.933
124	False	0.655	0.809	0.954	0.935	0.703	0.839	0.951	0.933
125	False	0.66	0.813	0.954	0.935	0.7	0.837	0.95	0.933
126	False	0.656	0.81	0.954	0.935	0.702	0.838	0.951	0.933
127	False	0.655	0.81	0.954	0.935	0.708	0.842	0.95	0.933
128	False	0.655	0.81	0.954	0.935	0.715	0.846	0.951	0.932
129	False	0.654	0.809	0.954	0.935	0.696	0.834	0.951	0.933
130	False	0.653	0.808	0.954	0.935	0.708	0.842	0.95	0.932
131	False	0.649	0.806	0.954	0.935	0.704	0.839	0.951	0.933
132	False	0.651	0.807	0.954	0.935	0.693	0.833	0.951	0.933
133	False	0.648	0.805	0.954	0.936	0.693	0.833	0.951	0.934
134	False	0.649	0.806	0.954	0.936	0.709	0.842	0.951	0.933
135	False	0.649	0.806	0.954	0.935	0.702	0.838	0.951	0.933
136	False	0.646	0.804	0.955	0.936	0.697	0.835	0.951	0.934
137	False	0.641	0.801	0.955	0.936	0.69	0.831	0.951	0.933
138	False	0.648	0.805	0.954	0.936	0.693	0.833	0.951	0.933
139	False	0.641	0.8	0.955	0.936	0.696	0.835	0.951	0.933
140	False	0.645	0.803	0.955	0.936	0.689	0.83	0.951	0.934
141	False	0.642	0.801	0.955	0.936	0.693	0.833	0.951	0.933
142	False	0.643	0.802	0.955	0.936	0.693	0.832	0.951	0.933
143	False	0.64	0.8	0.955	0.936	0.692	0.832	0.951	0.933
144	False	0.636	0.798	0.955	0.937	0.698	0.835	0.951	0.933
145	False	0.637	0.798	0.955	0.937	0.693	0.833	0.951	0.934
146	False	0.635	0.797	0.955	0.937	0.69	0.831	0.951	0.934
147	False	0.638	0.799	0.955	0.937	0.696	0.834	0.951	0.933
148	False	0.632	0.795	0.956	0.937	0.689	0.83	0.951	0.933
149	False	0.635	0.797	0.955	0.937	0.689	0.83	0.951	0.934
150	False	0.632	0.795	0.956	0.937	0.683	0.827	0.952	0.934
151	False	0.629	0.793	0.956	0.938	0.694	0.834	0.951	0.934
152	False	0.631	0.794	0.956	0.937	0.693	0.832	0.951	0.933
153	False	0.629	0.793	0.956	0.937	0.694	0.833	0.951	0.934
154	False	0.633	0.796	0.956	0.937	0.701	0.838	0.951	0.933
155	False	0.627	0.792	0.956	0.938	0.707	0.841	0.951	0.934
156	False	0.627	0.792	0.956	0.938	0.691	0.832	0.951	0.934
157	False	0.623	0.789	0.956	0.938	0.698	0.836	0.952	0.934
158	False	0.625	0.79	0.956	0.938	0.685	0.828	0.952	0.934
159	False	0.622	0.789	0.956	0.938	0.718	0.848	0.951	0.934
160	True	0.625	0.791	0.956	0.938	0.69	0.831	0.951	0.934
