Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.999	1.414	0.853	0.81	1.864	1.367	0.888	0.853
2	False	1.525	1.235	0.889	0.855	1.501	1.227	0.898	0.865
3	False	1.458	1.208	0.894	0.862	1.327	1.153	0.905	0.874
4	False	1.404	1.185	0.899	0.867	1.312	1.147	0.907	0.877
5	False	1.36	1.166	0.902	0.871	1.277	1.132	0.911	0.882
6	False	1.313	1.146	0.905	0.875	1.228	1.11	0.913	0.885
7	False	1.271	1.127	0.909	0.88	1.187	1.091	0.917	0.889
8	False	1.239	1.113	0.911	0.883	1.243	1.116	0.918	0.891
9	False	1.207	1.099	0.913	0.886	1.121	1.06	0.92	0.893
10	False	1.182	1.087	0.915	0.889	1.095	1.047	0.922	0.897
11	False	1.159	1.076	0.917	0.891	1.12	1.059	0.923	0.897
12	False	1.137	1.066	0.919	0.892	1.084	1.042	0.925	0.9
13	False	1.12	1.058	0.92	0.894	1.055	1.029	0.925	0.899
14	False	1.098	1.048	0.922	0.896	1.016	1.008	0.928	0.904
15	False	1.08	1.039	0.923	0.898	1.013	1.008	0.928	0.903
16	False	1.067	1.033	0.924	0.898	1.018	1.01	0.93	0.906
17	False	1.056	1.028	0.925	0.9	0.977	0.989	0.93	0.908
18	False	1.038	1.019	0.926	0.901	0.949	0.975	0.932	0.909
19	False	1.024	1.012	0.927	0.902	0.941	0.971	0.933	0.91
20	False	1.018	1.009	0.928	0.903	0.96	0.981	0.934	0.91
21	False	1.003	1.001	0.929	0.904	0.955	0.978	0.934	0.91
22	False	0.993	0.996	0.929	0.905	0.924	0.963	0.934	0.911
23	False	0.984	0.992	0.93	0.906	0.956	0.978	0.935	0.912
24	False	0.974	0.987	0.931	0.907	0.886	0.942	0.937	0.915
25	False	0.971	0.985	0.931	0.907	0.921	0.961	0.936	0.914
26	False	0.959	0.979	0.932	0.908	0.892	0.945	0.937	0.915
27	False	0.952	0.976	0.932	0.909	0.88	0.939	0.937	0.915
28	False	0.942	0.97	0.933	0.91	0.87	0.934	0.938	0.916
29	False	0.933	0.966	0.934	0.91	0.874	0.936	0.939	0.917
30	False	0.927	0.963	0.934	0.911	0.907	0.954	0.939	0.916
31	False	0.921	0.96	0.935	0.911	0.862	0.93	0.94	0.918
32	False	0.91	0.954	0.935	0.912	0.851	0.923	0.94	0.918
