Cell	Drug
SIDM01703	176870
SIDM01704	176870
SIDM01705	176870
SIDM01709	176870
SIDM01710	176870
SIDM01724	176870
SIDM01725	176870
SIDM01726	176870
SIDM01727	176870
SIDM01728	176870
SIDM01729	176870
SIDM01730	176870
SIDM01734	176870
SIDM01739	176870
SIDM01741	176870
SIDM01743	176870
SIDM01746	176870
SIDM01749	176870
SIDM01750	176870
SIDM01752	176870
SIDM01753	176870
SIDM01756	176870
SIDM01757	176870
SIDM01758	176870
SIDM01759	176870
SIDM01760	176870
SIDM01761	176870
SIDM01762	176870
SIDM01763	176870
SIDM01764	176870
SIDM01765	176870
SIDM01766	176870
SIDM01767	176870
SIDM01768	176870
SIDM01770	176870
SIDM01771	176870
SIDM01772	176870
SIDM01773	176870
SIDM01774	176870
SIDM01775	176870
SIDM01777	176870
SIDM01779	176870
SIDM01780	176870
SIDM01781	176870
SIDM01782	176870
SIDM01820	176870
SIDM01858	176870
SIDM01859	176870
SIDM01873	176870
SIDM01942	176870
SIDM01943	176870
SIDM01944	176870
SIDM01946	176870
SIDM01947	176870
SIDM01948	176870
SIDM01949	176870
SIDM01950	176870
SIDM01951	176870
SIDM01952	176870
SIDM01954	176870
SIDM01955	176870
SIDM01956	176870
SIDM01957	176870
SIDM01958	176870
SIDM01959	176870
SIDM01960	176870
SIDM01961	176870
SIDM01962	176870
SIDM01963	176870
SIDM01964	176870
SIDM01965	176870
SIDM01966	176870
SIDM02010	176870
SIDM02011	176870
SIDM02014	176870
SIDM02015	176870
SIDM02016	176870
SIDM02017	176870
SIDM02018	176870
SIDM02019	176870
SIDM02020	176870
SIDM02021	176870
SIDM02022	176870
SIDM02023	176870
SIDM02024	176870
SIDM02025	176870
SIDM02026	176870
SIDM02027	176870
SIDM02028	176870
SIDM02029	176870
SIDM02030	176870
SIDM02031	176870
SIDM02032	176870
SIDM02034	176870
SIDM02035	176870
SIDM02036	176870
SIDM02037	176870
SIDM02038	176870
SIDM02039	176870
SIDM02040	176870
SIDM02041	176870
SIDM02042	176870
SIDM02043	176870
SIDM02044	176870
SIDM02045	176870
SIDM02046	176870
SIDM02047	176870
SIDM02048	176870
SIDM02049	176870
SIDM02050	176870
SIDM02051	176870
SIDM02052	176870
SIDM02053	176870
SIDM02054	176870
SIDM02055	176870
SIDM02056	176870
SIDM02057	176870
SIDM02058	176870
SIDM02059	176870
SIDM02060	176870
SIDM02061	176870
SIDM02062	176870
SIDM02063	176870
SIDM02064	176870
SIDM02065	176870
SIDM02066	176870
SIDM02067	176870
SIDM02068	176870
SIDM02069	176870
SIDM02070	176870
SIDM02071	176870
SIDM02072	176870
SIDM02073	176870
SIDM02074	176870
SIDM02075	176870
SIDM02076	176870
SIDM02077	176870
SIDM02078	176870
SIDM02079	176870
SIDM02080	176870
SIDM00001	5284616
SIDM00002	5284616
SIDM00005	5284616
SIDM00006	5284616
SIDM00007	5284616
SIDM00008	5284616
SIDM00009	5284616
SIDM00011	5284616
SIDM00014	5284616
SIDM00015	5284616
SIDM00016	5284616
SIDM00017	5284616
SIDM00018	5284616
SIDM00025	5284616
SIDM00026	5284616
SIDM00027	5284616
SIDM00029	5284616
SIDM00032	5284616
SIDM00036	5284616
SIDM00054	5284616
SIDM00057	5284616
SIDM00062	5284616
SIDM00063	5284616
SIDM00065	5284616
SIDM00068	5284616
SIDM00070	5284616
SIDM00071	5284616
SIDM00074	5284616
SIDM00093	5284616
SIDM00131	5284616
SIDM00147	5284616
SIDM00153	5284616
SIDM00158	5284616
SIDM00159	5284616
SIDM00160	5284616
SIDM00161	5284616
SIDM00162	5284616
SIDM00163	5284616
SIDM00164	5284616
SIDM00165	5284616
SIDM00166	5284616
SIDM00167	5284616
SIDM00168	5284616
SIDM00169	5284616
SIDM00170	5284616
SIDM00171	5284616
SIDM00173	5284616
SIDM00192	5284616
SIDM00226	5284616
SIDM00228	5284616
SIDM00248	5284616
SIDM00265	5284616
SIDM00298	5284616
SIDM00307	5284616
SIDM00314	5284616
SIDM00397	5284616
SIDM00414	5284616
SIDM00452	5284616
SIDM00497	5284616
SIDM00500	5284616
SIDM00536	5284616
