Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.946	1.395	0.858	0.821	4.291	2.073	0.55	0.422
2	False	1.498	1.224	0.892	0.861	4.377	2.093	0.551	0.432
3	False	1.429	1.195	0.897	0.868	4.245	2.062	0.581	0.441
4	False	1.375	1.173	0.902	0.873	3.972	1.994	0.602	0.45
5	False	1.325	1.151	0.905	0.878	4.065	2.017	0.59	0.461
6	False	1.283	1.133	0.908	0.882	3.782	1.945	0.621	0.496
7	False	1.25	1.118	0.911	0.885	4.047	2.012	0.6	0.462
8	False	1.215	1.102	0.914	0.889	4.031	2.008	0.586	0.457
9	False	1.189	1.091	0.915	0.891	3.761	1.939	0.619	0.505
10	False	1.161	1.078	0.918	0.894	3.863	1.966	0.607	0.463
11	False	1.141	1.068	0.919	0.895	4.032	2.008	0.602	0.465
12	False	1.119	1.058	0.921	0.897	4.035	2.01	0.603	0.471
13	False	1.103	1.05	0.922	0.899	3.854	1.963	0.608	0.468
14	False	1.083	1.041	0.923	0.9	3.88	1.969	0.605	0.476
15	False	1.068	1.034	0.924	0.901	3.856	1.963	0.607	0.478
16	False	1.056	1.027	0.925	0.902	3.955	1.989	0.601	0.468
17	False	1.038	1.019	0.927	0.904	3.708	1.926	0.628	0.497
18	False	1.019	1.009	0.928	0.905	3.791	1.947	0.622	0.488
19	False	1.013	1.006	0.928	0.906	3.673	1.915	0.63	0.506
20	False	1.0	1.0	0.929	0.907	3.796	1.947	0.615	0.488
21	False	0.987	0.993	0.93	0.908	3.924	1.981	0.605	0.484
22	False	0.982	0.991	0.931	0.909	4.002	2.0	0.597	0.475
23	False	0.969	0.985	0.932	0.91	3.736	1.933	0.623	0.503
24	False	0.961	0.98	0.932	0.91	3.995	1.999	0.612	0.487
25	False	0.947	0.973	0.933	0.911	3.881	1.97	0.617	0.496
26	False	0.941	0.97	0.934	0.912	3.846	1.96	0.605	0.478
27	False	0.935	0.967	0.934	0.913	3.869	1.967	0.61	0.479
28	False	0.924	0.961	0.935	0.913	3.818	1.954	0.615	0.481
29	True	0.92	0.959	0.935	0.914	3.873	1.967	0.61	0.485
