Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.932	1.39	0.861	0.82	6.99	2.645	0.423	0.304
2	False	1.506	1.227	0.893	0.859	6.123	2.472	0.482	0.384
3	False	1.432	1.197	0.898	0.866	6.383	2.527	0.473	0.38
4	False	1.376	1.173	0.902	0.872	6.291	2.51	0.484	0.386
5	False	1.332	1.154	0.906	0.876	5.644	2.379	0.473	0.372
6	False	1.279	1.131	0.91	0.881	5.712	2.39	0.44	0.347
7	False	1.233	1.11	0.913	0.885	5.447	2.338	0.472	0.377
8	False	1.203	1.097	0.915	0.889	5.665	2.378	0.449	0.366
9	False	1.173	1.083	0.917	0.891	5.066	2.251	0.493	0.406
10	False	1.145	1.07	0.92	0.894	5.701	2.389	0.464	0.371
11	False	1.12	1.058	0.921	0.896	5.545	2.355	0.47	0.367
12	False	1.105	1.051	0.922	0.897	5.604	2.367	0.467	0.381
13	False	1.083	1.041	0.924	0.899	5.806	2.413	0.451	0.346
14	False	1.069	1.034	0.925	0.9	6.423	2.536	0.468	0.377
15	False	1.052	1.026	0.926	0.902	5.144	2.268	0.485	0.39
16	False	1.035	1.017	0.928	0.904	5.536	2.354	0.485	0.386
17	False	1.028	1.014	0.928	0.904	5.373	2.32	0.475	0.387
18	False	1.015	1.007	0.929	0.905	5.36	2.315	0.467	0.373
19	True	1.003	1.002	0.93	0.906	5.28	2.298	0.497	0.405
