Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.923	1.386	0.855	0.813	8.761	2.96	0.301	0.258
2	False	1.492	1.221	0.889	0.855	8.658	2.943	0.298	0.28
3	False	1.416	1.19	0.895	0.862	8.756	2.957	0.3	0.292
4	False	1.37	1.17	0.898	0.867	8.417	2.902	0.315	0.287
5	False	1.324	1.15	0.902	0.871	8.044	2.837	0.312	0.301
6	False	1.288	1.135	0.905	0.875	8.44	2.903	0.285	0.28
7	False	1.237	1.112	0.909	0.88	7.957	2.818	0.333	0.314
8	False	1.204	1.097	0.911	0.883	7.692	2.773	0.364	0.347
9	False	1.175	1.084	0.913	0.886	7.663	2.767	0.338	0.316
10	False	1.149	1.072	0.915	0.889	7.774	2.787	0.338	0.326
11	False	1.126	1.061	0.917	0.891	7.718	2.779	0.325	0.309
12	False	1.105	1.051	0.919	0.893	7.436	2.727	0.349	0.347
13	False	1.093	1.046	0.92	0.894	7.313	2.705	0.364	0.358
14	False	1.074	1.037	0.921	0.895	7.367	2.712	0.368	0.355
15	False	1.058	1.029	0.922	0.897	7.181	2.68	0.383	0.363
16	False	1.043	1.021	0.924	0.898	7.514	2.739	0.364	0.359
17	False	1.031	1.015	0.925	0.899	7.451	2.729	0.372	0.364
18	False	1.017	1.008	0.926	0.901	6.983	2.642	0.387	0.371
19	False	1.003	1.001	0.927	0.902	7.671	2.768	0.345	0.33
20	False	0.991	0.995	0.928	0.903	7.31	2.703	0.375	0.36
21	False	0.983	0.991	0.928	0.904	7.506	2.738	0.365	0.351
22	False	0.971	0.985	0.929	0.905	7.353	2.71	0.382	0.367
23	False	0.959	0.98	0.93	0.906	7.673	2.769	0.338	0.321
24	False	0.95	0.975	0.931	0.906	7.372	2.717	0.365	0.351
25	False	0.94	0.97	0.931	0.907	7.366	2.713	0.356	0.349
26	False	0.933	0.966	0.932	0.908	7.449	2.729	0.356	0.339
27	False	0.926	0.962	0.932	0.909	7.573	2.751	0.351	0.338
28	True	0.915	0.957	0.933	0.91	7.828	2.798	0.346	0.338
