Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.947	1.396	0.854	0.818	7.361	2.676	0.402	0.367
2	False	1.506	1.228	0.888	0.859	6.381	2.483	0.445	0.401
3	False	1.442	1.2	0.893	0.865	6.973	2.591	0.43	0.388
4	False	1.394	1.18	0.897	0.87	6.978	2.593	0.456	0.402
5	False	1.355	1.163	0.9	0.874	7.153	2.629	0.412	0.377
6	False	1.307	1.143	0.904	0.878	6.929	2.582	0.382	0.356
7	False	1.265	1.124	0.907	0.882	6.962	2.584	0.391	0.373
8	False	1.222	1.105	0.911	0.887	6.976	2.597	0.359	0.341
9	False	1.192	1.092	0.913	0.889	7.67	2.71	0.397	0.361
10	False	1.163	1.078	0.915	0.892	7.314	2.652	0.377	0.347
11	False	1.148	1.071	0.916	0.893	7.415	2.666	0.357	0.315
12	True	1.122	1.059	0.918	0.895	7.086	2.61	0.361	0.341
