Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.941	1.393	0.862	0.819	6.72	2.593	0.404	0.316
2	False	1.505	1.227	0.894	0.86	6.358	2.523	0.432	0.362
3	False	1.426	1.194	0.9	0.867	6.896	2.627	0.387	0.294
4	False	1.374	1.172	0.904	0.872	6.563	2.563	0.404	0.319
5	False	1.325	1.151	0.908	0.876	6.763	2.602	0.402	0.31
6	False	1.279	1.131	0.911	0.881	6.988	2.645	0.393	0.309
7	False	1.244	1.115	0.914	0.885	6.019	2.454	0.441	0.348
8	False	1.212	1.101	0.916	0.888	6.524	2.556	0.422	0.319
9	False	1.173	1.083	0.919	0.891	6.232	2.498	0.425	0.311
10	False	1.153	1.074	0.92	0.893	6.264	2.504	0.415	0.305
11	False	1.133	1.064	0.922	0.895	6.634	2.577	0.397	0.29
12	False	1.106	1.052	0.924	0.897	6.654	2.581	0.414	0.303
13	False	1.093	1.046	0.924	0.898	6.287	2.508	0.409	0.301
14	False	1.075	1.037	0.926	0.899	6.698	2.589	0.4	0.294
15	False	1.059	1.029	0.927	0.901	6.185	2.487	0.421	0.313
16	False	1.042	1.021	0.928	0.902	6.412	2.533	0.406	0.307
17	True	1.031	1.015	0.929	0.903	6.226	2.496	0.416	0.308
