Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.945	1.395	0.855	0.812	5.235	2.288	0.488	0.402
2	False	1.499	1.224	0.89	0.855	4.905	2.215	0.518	0.43
3	False	1.422	1.192	0.896	0.862	5.307	2.304	0.468	0.373
4	False	1.359	1.166	0.901	0.868	5.038	2.244	0.494	0.403
5	False	1.304	1.142	0.905	0.874	5.277	2.297	0.48	0.397
6	False	1.266	1.125	0.908	0.878	5.249	2.291	0.476	0.382
7	False	1.224	1.107	0.911	0.882	5.478	2.34	0.484	0.397
8	False	1.195	1.093	0.913	0.885	5.08	2.254	0.484	0.385
9	False	1.166	1.08	0.915	0.888	5.202	2.281	0.482	0.404
10	False	1.144	1.07	0.917	0.89	5.295	2.301	0.469	0.375
11	False	1.124	1.06	0.919	0.891	5.023	2.241	0.487	0.397
12	True	1.104	1.051	0.92	0.893	5.094	2.257	0.486	0.413
