Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.93	1.389	0.866	0.822	5.846	2.419	0.363	0.282
2	False	1.499	1.225	0.897	0.861	5.631	2.375	0.365	0.291
3	False	1.43	1.196	0.902	0.868	5.847	2.421	0.354	0.271
4	False	1.377	1.174	0.906	0.873	5.741	2.399	0.327	0.264
5	False	1.333	1.155	0.909	0.877	5.572	2.363	0.345	0.264
6	False	1.295	1.138	0.912	0.881	5.581	2.365	0.322	0.239
7	False	1.257	1.121	0.915	0.885	5.818	2.415	0.318	0.232
8	False	1.218	1.103	0.917	0.888	6.11	2.475	0.296	0.216
9	False	1.192	1.092	0.919	0.891	5.806	2.412	0.316	0.234
10	False	1.167	1.08	0.921	0.893	5.641	2.378	0.337	0.249
11	False	1.138	1.067	0.923	0.895	5.825	2.416	0.33	0.247
12	False	1.121	1.058	0.924	0.897	5.682	2.386	0.318	0.237
13	False	1.102	1.05	0.926	0.898	5.864	2.424	0.33	0.251
14	False	1.081	1.04	0.927	0.9	5.598	2.368	0.339	0.266
15	True	1.069	1.034	0.928	0.901	5.61	2.371	0.322	0.243
