Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.934	1.391	0.863	0.819	6.41	2.511	0.41	0.397
2	False	1.492	1.222	0.896	0.861	6.579	2.546	0.382	0.358
3	False	1.423	1.193	0.901	0.867	5.983	2.43	0.436	0.409
4	False	1.377	1.173	0.904	0.871	6.103	2.449	0.399	0.393
5	False	1.338	1.157	0.907	0.875	6.65	2.557	0.397	0.38
6	False	1.297	1.139	0.91	0.878	6.461	2.524	0.4	0.378
7	False	1.255	1.12	0.913	0.883	5.875	2.405	0.432	0.413
8	False	1.213	1.101	0.916	0.887	6.096	2.449	0.434	0.409
9	False	1.179	1.086	0.918	0.89	5.61	2.349	0.462	0.456
10	False	1.157	1.076	0.92	0.892	5.689	2.365	0.462	0.445
11	False	1.134	1.065	0.922	0.894	5.525	2.332	0.483	0.472
12	False	1.109	1.053	0.923	0.896	5.876	2.402	0.421	0.395
13	False	1.093	1.046	0.925	0.898	5.617	2.353	0.46	0.441
14	False	1.076	1.037	0.926	0.899	5.891	2.407	0.452	0.441
15	False	1.061	1.03	0.927	0.9	5.481	2.323	0.479	0.458
16	False	1.046	1.023	0.928	0.902	5.85	2.399	0.446	0.416
17	False	1.031	1.015	0.929	0.903	5.666	2.361	0.464	0.44
18	False	1.016	1.008	0.93	0.904	5.504	2.33	0.476	0.441
19	False	1.003	1.002	0.931	0.905	5.695	2.368	0.463	0.422
20	False	0.995	0.997	0.932	0.906	5.475	2.321	0.481	0.456
21	False	0.987	0.994	0.932	0.907	5.546	2.339	0.466	0.443
22	False	0.973	0.986	0.933	0.908	5.65	2.358	0.471	0.443
23	False	0.962	0.981	0.934	0.909	5.329	2.292	0.502	0.473
24	False	0.953	0.976	0.935	0.91	5.518	2.332	0.475	0.424
25	False	0.948	0.974	0.935	0.91	5.407	2.311	0.491	0.459
26	False	0.936	0.967	0.936	0.911	5.567	2.342	0.466	0.439
27	False	0.926	0.963	0.937	0.912	5.407	2.309	0.49	0.469
28	False	0.92	0.959	0.937	0.912	5.362	2.299	0.486	0.45
29	False	0.912	0.955	0.938	0.913	5.408	2.307	0.489	0.457
30	False	0.905	0.951	0.938	0.914	5.502	2.328	0.484	0.449
31	False	0.904	0.951	0.938	0.914	5.655	2.359	0.474	0.464
32	False	0.892	0.944	0.939	0.915	5.485	2.323	0.487	0.466
33	True	0.887	0.942	0.939	0.915	5.461	2.319	0.479	0.459
