Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.909	1.382	0.858	0.82	6.112	2.474	0.513	0.342
2	False	1.473	1.214	0.892	0.861	5.261	2.296	0.533	0.403
3	False	1.402	1.184	0.898	0.868	5.996	2.45	0.552	0.414
4	False	1.359	1.166	0.901	0.872	6.244	2.502	0.544	0.411
5	False	1.307	1.143	0.905	0.877	5.423	2.329	0.528	0.401
6	False	1.257	1.121	0.909	0.881	6.124	2.478	0.523	0.391
7	False	1.212	1.101	0.912	0.886	5.535	2.357	0.532	0.409
8	False	1.177	1.085	0.915	0.89	5.36	2.318	0.554	0.441
9	False	1.145	1.07	0.917	0.892	5.262	2.297	0.532	0.415
10	False	1.119	1.058	0.919	0.895	5.102	2.261	0.56	0.409
11	False	1.095	1.047	0.921	0.897	5.149	2.272	0.564	0.438
12	False	1.079	1.039	0.922	0.898	5.629	2.375	0.556	0.444
13	False	1.064	1.031	0.923	0.9	6.258	2.504	0.544	0.389
14	False	1.049	1.024	0.924	0.901	5.249	2.294	0.547	0.394
15	False	1.03	1.015	0.926	0.903	5.471	2.34	0.537	0.386
16	False	1.016	1.008	0.927	0.904	5.937	2.438	0.532	0.412
17	False	1.008	1.004	0.927	0.905	5.804	2.41	0.527	0.416
18	False	0.99	0.995	0.929	0.906	5.193	2.282	0.566	0.429
19	False	0.98	0.99	0.93	0.907	5.162	2.274	0.567	0.427
20	True	0.972	0.986	0.93	0.908	5.456	2.338	0.542	0.408
