Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.963	1.398	0.856	0.815	2.791	1.659	0.83	0.767
2	False	1.558	1.249	0.886	0.852	1.926	1.389	0.865	0.819
3	False	1.465	1.208	0.894	0.862	1.781	1.336	0.876	0.834
4	False	1.441	1.201	0.895	0.863	1.86	1.366	0.878	0.839
5	False	1.366	1.169	0.901	0.87	1.788	1.338	0.88	0.841
6	False	1.333	1.153	0.904	0.874	1.99	1.413	0.861	0.819
7	False	1.323	1.148	0.905	0.875	1.793	1.34	0.872	0.835
8	False	1.28	1.132	0.908	0.879	1.675	1.296	0.88	0.843
9	False	1.235	1.108	0.912	0.884	1.844	1.359	0.875	0.838
10	False	1.202	1.096	0.914	0.887	1.736	1.318	0.878	0.84
11	False	1.185	1.088	0.915	0.889	1.731	1.315	0.877	0.839
12	False	1.161	1.075	0.917	0.891	1.737	1.319	0.881	0.844
13	False	1.149	1.068	0.918	0.893	1.685	1.299	0.879	0.841
14	False	1.14	1.068	0.918	0.892	1.682	1.298	0.882	0.845
15	False	1.116	1.05	0.921	0.896	1.781	1.336	0.881	0.844
16	False	1.091	1.044	0.922	0.897	1.763	1.329	0.881	0.843
17	False	1.087	1.042	0.922	0.897	1.686	1.299	0.881	0.843
18	True	1.07	1.033	0.924	0.898	1.685	1.299	0.878	0.84
