Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.955	1.398	0.856	0.814	1.824	1.353	0.866	0.822
2	False	1.506	1.227	0.891	0.857	1.729	1.317	0.872	0.827
3	False	1.434	1.197	0.896	0.863	1.812	1.348	0.876	0.834
4	False	1.39	1.179	0.899	0.868	1.84	1.358	0.873	0.83
5	False	1.339	1.157	0.903	0.873	1.742	1.322	0.881	0.84
6	False	1.293	1.137	0.907	0.878	1.928	1.391	0.876	0.836
7	False	1.255	1.12	0.91	0.882	1.71	1.309	0.873	0.832
8	False	1.223	1.106	0.912	0.885	1.688	1.301	0.879	0.839
9	False	1.191	1.091	0.915	0.888	1.632	1.279	0.879	0.838
10	False	1.167	1.08	0.916	0.89	1.731	1.318	0.881	0.842
11	False	1.146	1.071	0.918	0.892	1.669	1.294	0.883	0.843
12	False	1.128	1.062	0.919	0.893	1.613	1.271	0.881	0.841
13	False	1.112	1.054	0.92	0.895	1.602	1.267	0.882	0.842
14	False	1.091	1.044	0.922	0.897	1.704	1.307	0.881	0.841
15	False	1.076	1.038	0.923	0.898	1.695	1.303	0.88	0.84
16	False	1.064	1.032	0.924	0.899	1.662	1.291	0.881	0.841
17	False	1.051	1.025	0.925	0.9	1.604	1.268	0.883	0.844
18	False	1.035	1.017	0.926	0.902	1.618	1.274	0.884	0.844
19	False	1.023	1.012	0.927	0.902	1.617	1.273	0.882	0.842
20	False	1.009	1.005	0.928	0.904	1.601	1.266	0.882	0.842
21	False	1.0	1.0	0.929	0.905	1.627	1.277	0.883	0.844
22	False	0.994	0.997	0.929	0.905	1.617	1.274	0.882	0.842
23	False	0.986	0.993	0.93	0.906	1.634	1.28	0.883	0.844
24	False	0.969	0.984	0.931	0.907	1.609	1.27	0.882	0.843
25	False	0.962	0.981	0.932	0.908	1.623	1.276	0.882	0.843
26	False	0.959	0.979	0.932	0.908	1.606	1.269	0.884	0.845
27	False	0.945	0.972	0.933	0.909	1.678	1.297	0.881	0.842
28	False	0.936	0.967	0.933	0.91	1.642	1.283	0.884	0.846
29	False	0.936	0.967	0.933	0.91	1.587	1.261	0.883	0.845
30	False	0.922	0.96	0.934	0.911	1.606	1.269	0.883	0.844
31	False	0.919	0.959	0.935	0.912	1.619	1.274	0.882	0.842
32	False	0.906	0.952	0.936	0.913	1.614	1.272	0.883	0.845
33	False	0.906	0.952	0.936	0.913	1.603	1.268	0.884	0.846
34	False	0.897	0.947	0.936	0.914	1.659	1.29	0.879	0.839
35	False	0.895	0.946	0.936	0.914	1.576	1.257	0.884	0.846
36	False	0.885	0.941	0.937	0.915	1.601	1.267	0.883	0.844
37	False	0.877	0.937	0.938	0.916	1.706	1.308	0.883	0.845
38	False	0.872	0.934	0.938	0.916	1.634	1.28	0.883	0.845
39	False	0.874	0.935	0.938	0.916	1.632	1.279	0.884	0.846
40	False	0.866	0.931	0.939	0.916	1.678	1.297	0.883	0.846
41	False	0.862	0.928	0.939	0.917	1.581	1.259	0.884	0.847
42	False	0.853	0.924	0.94	0.917	1.623	1.276	0.885	0.847
43	False	0.853	0.923	0.94	0.917	1.639	1.282	0.883	0.846
44	False	0.845	0.919	0.94	0.918	1.646	1.285	0.884	0.846
45	True	0.843	0.918	0.94	0.918	1.634	1.28	0.884	0.846
