Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.993	1.412	0.853	0.81	1.914	1.386	0.879	0.843
2	False	1.522	1.234	0.889	0.855	1.598	1.266	0.885	0.849
3	False	1.442	1.201	0.895	0.863	1.571	1.255	0.887	0.852
4	False	1.388	1.178	0.9	0.868	1.552	1.246	0.89	0.858
5	False	1.334	1.155	0.904	0.873	1.623	1.275	0.89	0.855
6	False	1.29	1.136	0.907	0.878	1.542	1.243	0.889	0.856
7	False	1.25	1.118	0.91	0.882	1.526	1.236	0.892	0.859
8	False	1.216	1.103	0.913	0.885	1.629	1.278	0.884	0.847
9	False	1.185	1.089	0.915	0.888	1.531	1.239	0.889	0.854
10	False	1.164	1.079	0.917	0.89	1.575	1.256	0.892	0.859
11	False	1.147	1.071	0.918	0.891	1.497	1.224	0.892	0.859
12	False	1.124	1.06	0.92	0.894	1.582	1.259	0.886	0.851
13	False	1.103	1.05	0.921	0.895	1.555	1.248	0.889	0.855
14	False	1.085	1.042	0.922	0.897	1.496	1.225	0.892	0.859
15	False	1.068	1.034	0.924	0.898	1.541	1.243	0.893	0.861
16	False	1.057	1.028	0.924	0.899	1.517	1.233	0.893	0.862
17	False	1.04	1.02	0.926	0.901	1.496	1.225	0.892	0.86
18	False	1.026	1.013	0.927	0.902	1.515	1.233	0.892	0.86
19	False	1.019	1.009	0.927	0.902	1.562	1.252	0.891	0.859
20	False	1.007	1.004	0.928	0.904	1.496	1.225	0.893	0.861
21	False	0.993	0.997	0.929	0.905	1.554	1.248	0.893	0.863
22	False	0.983	0.991	0.93	0.906	1.498	1.225	0.892	0.859
23	False	0.979	0.99	0.93	0.906	1.494	1.224	0.892	0.86
24	False	0.968	0.984	0.931	0.907	1.516	1.232	0.891	0.858
25	False	0.96	0.979	0.932	0.908	1.478	1.217	0.893	0.862
26	False	0.949	0.974	0.932	0.909	1.468	1.213	0.894	0.863
27	False	0.939	0.969	0.933	0.909	1.503	1.228	0.894	0.863
28	False	0.937	0.968	0.933	0.91	1.481	1.218	0.894	0.862
29	False	0.925	0.962	0.934	0.911	1.487	1.221	0.895	0.863
30	False	0.921	0.96	0.935	0.911	1.459	1.209	0.895	0.864
31	False	0.911	0.955	0.935	0.912	1.492	1.223	0.895	0.863
32	False	0.904	0.95	0.936	0.913	1.476	1.216	0.894	0.863
33	False	0.897	0.947	0.936	0.913	1.47	1.214	0.894	0.864
34	False	0.893	0.945	0.937	0.913	1.477	1.217	0.893	0.861
35	False	0.886	0.941	0.937	0.914	1.498	1.225	0.894	0.864
36	False	0.88	0.938	0.938	0.915	1.459	1.21	0.895	0.864
37	False	0.875	0.935	0.938	0.915	1.494	1.223	0.892	0.86
38	False	0.87	0.933	0.938	0.916	1.489	1.221	0.893	0.861
39	False	0.866	0.931	0.939	0.916	1.47	1.214	0.895	0.864
40	False	0.857	0.926	0.939	0.917	1.454	1.207	0.895	0.864
41	False	0.854	0.924	0.939	0.917	1.547	1.245	0.895	0.864
42	False	0.851	0.923	0.94	0.917	1.511	1.231	0.896	0.865
43	False	0.843	0.918	0.94	0.918	1.486	1.22	0.893	0.862
44	False	0.839	0.916	0.941	0.918	1.504	1.228	0.894	0.863
45	False	0.839	0.916	0.941	0.918	1.478	1.217	0.894	0.864
46	False	0.83	0.911	0.941	0.919	1.524	1.236	0.894	0.864
47	False	0.83	0.911	0.941	0.919	1.5	1.226	0.895	0.865
48	False	0.828	0.909	0.941	0.92	1.47	1.214	0.894	0.863
49	False	0.823	0.907	0.942	0.92	1.508	1.229	0.893	0.863
50	True	0.819	0.905	0.942	0.92	1.484	1.22	0.895	0.865
