Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.954	1.398	0.856	0.814	1.816	1.349	0.872	0.829
2	False	1.505	1.227	0.891	0.857	1.931	1.392	0.873	0.831
3	False	1.437	1.198	0.896	0.863	1.676	1.296	0.876	0.837
4	False	1.379	1.174	0.9	0.869	2.122	1.459	0.875	0.835
5	False	1.333	1.155	0.904	0.874	1.65	1.286	0.879	0.841
6	False	1.285	1.134	0.907	0.879	1.606	1.269	0.882	0.845
7	False	1.245	1.116	0.911	0.883	1.72	1.313	0.875	0.834
8	False	1.21	1.1	0.913	0.886	1.713	1.311	0.88	0.842
9	False	1.185	1.089	0.915	0.888	1.709	1.309	0.885	0.849
10	False	1.156	1.075	0.917	0.891	1.693	1.302	0.88	0.842
11	False	1.138	1.067	0.919	0.893	1.597	1.265	0.883	0.845
12	False	1.12	1.058	0.92	0.894	1.681	1.298	0.879	0.841
13	False	1.098	1.048	0.922	0.896	1.693	1.302	0.883	0.844
14	False	1.083	1.041	0.923	0.897	1.622	1.275	0.885	0.848
15	False	1.072	1.035	0.924	0.898	1.727	1.315	0.881	0.842
16	False	1.054	1.026	0.925	0.9	1.637	1.281	0.881	0.842
17	False	1.041	1.02	0.926	0.901	1.607	1.269	0.885	0.848
18	False	1.028	1.014	0.927	0.902	1.635	1.28	0.884	0.848
19	False	1.016	1.008	0.928	0.903	1.588	1.262	0.884	0.848
20	False	1.001	1.0	0.929	0.904	1.657	1.289	0.881	0.844
21	False	0.995	0.997	0.929	0.905	1.614	1.272	0.884	0.845
22	False	0.982	0.991	0.93	0.906	1.597	1.265	0.885	0.849
23	False	0.977	0.988	0.931	0.906	1.626	1.277	0.886	0.849
24	False	0.964	0.982	0.932	0.907	1.615	1.272	0.884	0.847
25	False	0.96	0.98	0.932	0.908	1.577	1.257	0.885	0.849
26	False	0.947	0.973	0.933	0.909	1.61	1.269	0.882	0.845
27	False	0.941	0.97	0.933	0.91	1.588	1.262	0.884	0.847
28	False	0.935	0.967	0.934	0.91	1.616	1.272	0.881	0.843
29	False	0.93	0.964	0.934	0.91	1.641	1.283	0.885	0.849
30	False	0.92	0.959	0.935	0.911	1.643	1.284	0.884	0.847
31	False	0.917	0.957	0.935	0.912	1.595	1.264	0.884	0.847
32	False	0.914	0.956	0.935	0.912	1.569	1.254	0.885	0.848
33	False	0.902	0.95	0.936	0.913	1.648	1.285	0.885	0.848
34	False	0.898	0.948	0.936	0.913	1.58	1.258	0.884	0.847
35	False	0.889	0.943	0.937	0.914	1.584	1.26	0.885	0.849
36	False	0.885	0.941	0.937	0.915	1.561	1.251	0.886	0.851
37	False	0.879	0.937	0.938	0.915	1.722	1.314	0.886	0.849
38	False	0.872	0.934	0.938	0.916	1.607	1.269	0.885	0.848
39	False	0.865	0.93	0.939	0.916	1.582	1.259	0.884	0.847
40	False	0.861	0.928	0.939	0.917	1.606	1.269	0.885	0.849
41	False	0.858	0.926	0.939	0.917	1.593	1.264	0.886	0.849
42	False	0.851	0.923	0.94	0.917	1.594	1.264	0.885	0.849
43	False	0.844	0.919	0.94	0.918	1.568	1.253	0.887	0.851
44	False	0.84	0.916	0.941	0.918	1.584	1.26	0.885	0.849
45	False	0.842	0.918	0.94	0.918	1.614	1.272	0.887	0.851
46	True	0.831	0.912	0.941	0.919	1.63	1.278	0.886	0.85
