Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.964	1.401	0.855	0.813	1.735	1.319	0.874	0.833
2	False	1.509	1.229	0.89	0.856	1.792	1.34	0.876	0.835
3	False	1.436	1.198	0.896	0.863	1.675	1.295	0.878	0.839
4	False	1.385	1.177	0.9	0.868	1.698	1.305	0.879	0.84
5	False	1.345	1.16	0.903	0.872	1.659	1.289	0.881	0.843
6	False	1.299	1.14	0.906	0.877	1.629	1.276	0.882	0.844
7	False	1.257	1.121	0.909	0.881	1.655	1.288	0.881	0.843
8	False	1.218	1.104	0.912	0.885	1.665	1.291	0.882	0.843
9	False	1.189	1.091	0.915	0.887	1.71	1.309	0.881	0.841
10	False	1.164	1.079	0.916	0.89	1.612	1.269	0.884	0.847
11	False	1.139	1.067	0.918	0.892	1.678	1.297	0.883	0.845
12	False	1.117	1.057	0.92	0.894	1.641	1.282	0.884	0.845
13	False	1.101	1.049	0.921	0.895	1.615	1.271	0.885	0.847
14	False	1.079	1.039	0.923	0.897	1.592	1.262	0.885	0.847
15	False	1.063	1.031	0.924	0.899	1.644	1.283	0.886	0.849
16	False	1.054	1.027	0.925	0.899	1.566	1.252	0.887	0.85
17	False	1.035	1.017	0.926	0.901	1.581	1.258	0.887	0.851
18	False	1.027	1.013	0.927	0.902	1.585	1.259	0.887	0.851
19	False	1.018	1.009	0.927	0.902	1.578	1.257	0.887	0.852
20	False	1.003	1.001	0.928	0.904	1.564	1.252	0.888	0.852
21	False	0.993	0.997	0.929	0.905	1.584	1.259	0.888	0.852
22	False	0.984	0.992	0.93	0.906	1.565	1.251	0.888	0.852
23	False	0.977	0.989	0.93	0.906	1.562	1.25	0.887	0.851
24	False	0.967	0.984	0.931	0.907	1.642	1.282	0.885	0.848
25	False	0.963	0.981	0.931	0.907	1.666	1.292	0.888	0.853
26	False	0.953	0.976	0.932	0.909	1.627	1.276	0.885	0.849
27	False	0.949	0.974	0.932	0.909	1.565	1.252	0.888	0.853
28	False	0.934	0.966	0.934	0.91	1.564	1.251	0.888	0.853
29	False	0.933	0.966	0.934	0.91	1.568	1.253	0.889	0.855
30	False	0.922	0.96	0.934	0.911	1.543	1.243	0.889	0.854
31	False	0.915	0.957	0.935	0.912	1.593	1.263	0.887	0.852
32	False	0.911	0.954	0.935	0.912	1.571	1.254	0.888	0.852
33	False	0.905	0.951	0.936	0.913	1.541	1.242	0.89	0.856
34	False	0.897	0.947	0.936	0.913	1.566	1.252	0.887	0.852
35	False	0.894	0.945	0.937	0.914	1.592	1.263	0.889	0.854
36	False	0.888	0.942	0.937	0.914	1.555	1.248	0.889	0.855
37	False	0.88	0.938	0.937	0.915	1.58	1.258	0.888	0.852
38	False	0.87	0.933	0.938	0.916	1.595	1.264	0.889	0.855
39	False	0.872	0.934	0.938	0.916	1.549	1.245	0.889	0.854
40	False	0.866	0.931	0.939	0.916	1.551	1.246	0.889	0.854
41	False	0.855	0.925	0.939	0.917	1.552	1.247	0.889	0.855
42	False	0.855	0.925	0.939	0.917	1.583	1.259	0.887	0.852
43	True	0.851	0.923	0.94	0.917	1.575	1.256	0.89	0.857
