Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.963	1.401	0.855	0.813	2.809	1.676	0.867	0.83
2	False	1.509	1.228	0.89	0.857	1.867	1.366	0.875	0.839
3	False	1.437	1.199	0.896	0.863	1.671	1.293	0.879	0.845
4	False	1.382	1.176	0.9	0.869	1.7	1.304	0.881	0.844
5	False	1.341	1.158	0.903	0.873	1.708	1.307	0.883	0.849
6	False	1.296	1.138	0.907	0.877	1.677	1.295	0.88	0.845
7	False	1.249	1.118	0.91	0.882	1.682	1.297	0.883	0.85
8	False	1.215	1.102	0.913	0.886	1.691	1.301	0.882	0.848
9	False	1.189	1.09	0.915	0.888	1.72	1.311	0.881	0.846
10	False	1.159	1.076	0.917	0.891	1.627	1.276	0.883	0.848
11	False	1.139	1.067	0.918	0.893	1.579	1.257	0.886	0.853
12	False	1.12	1.059	0.92	0.894	1.66	1.289	0.885	0.851
13	False	1.099	1.048	0.921	0.896	1.607	1.268	0.885	0.85
14	False	1.087	1.042	0.922	0.897	1.55	1.245	0.888	0.855
15	False	1.071	1.035	0.923	0.898	1.604	1.267	0.886	0.851
16	False	1.054	1.026	0.925	0.9	1.674	1.294	0.888	0.855
17	False	1.04	1.02	0.926	0.901	1.621	1.273	0.883	0.849
18	False	1.027	1.014	0.927	0.903	1.616	1.271	0.888	0.855
19	False	1.015	1.007	0.928	0.903	1.561	1.249	0.888	0.855
20	False	1.005	1.002	0.928	0.904	1.573	1.254	0.887	0.854
21	False	0.99	0.995	0.93	0.905	1.553	1.246	0.889	0.856
22	False	0.983	0.991	0.93	0.906	1.577	1.256	0.888	0.855
23	False	0.974	0.987	0.931	0.907	1.533	1.238	0.891	0.859
24	False	0.968	0.984	0.931	0.907	1.598	1.264	0.889	0.856
25	False	0.956	0.978	0.932	0.909	1.554	1.247	0.888	0.855
26	False	0.945	0.972	0.933	0.909	1.548	1.244	0.89	0.857
27	False	0.941	0.97	0.933	0.91	1.567	1.252	0.889	0.857
28	False	0.93	0.965	0.934	0.911	1.538	1.24	0.89	0.857
29	False	0.924	0.961	0.934	0.911	1.579	1.257	0.889	0.856
30	False	0.918	0.958	0.935	0.912	1.597	1.264	0.889	0.856
31	False	0.909	0.953	0.935	0.913	1.555	1.247	0.89	0.856
32	False	0.903	0.95	0.936	0.913	1.526	1.235	0.89	0.858
33	False	0.899	0.948	0.936	0.914	1.539	1.241	0.89	0.857
34	False	0.888	0.942	0.937	0.915	1.553	1.246	0.889	0.856
35	False	0.884	0.94	0.937	0.915	1.581	1.257	0.889	0.856
36	False	0.883	0.94	0.937	0.915	1.535	1.239	0.89	0.857
37	False	0.872	0.934	0.938	0.916	1.562	1.25	0.889	0.856
38	False	0.869	0.932	0.938	0.916	1.547	1.244	0.889	0.855
39	False	0.864	0.93	0.939	0.917	1.547	1.244	0.889	0.855
40	False	0.857	0.926	0.939	0.917	1.558	1.248	0.888	0.856
41	False	0.852	0.923	0.94	0.918	1.563	1.25	0.889	0.857
42	True	0.848	0.921	0.94	0.918	1.572	1.254	0.889	0.856
