Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.979	1.407	0.854	0.812	1.715	1.31	0.88	0.843
2	False	1.512	1.23	0.89	0.856	1.677	1.295	0.887	0.853
3	False	1.444	1.201	0.895	0.863	1.65	1.285	0.886	0.853
4	False	1.383	1.176	0.9	0.868	1.586	1.26	0.888	0.857
5	False	1.334	1.155	0.903	0.873	1.655	1.287	0.887	0.853
6	False	1.291	1.136	0.907	0.878	1.551	1.246	0.894	0.863
7	False	1.254	1.12	0.91	0.882	1.697	1.303	0.894	0.86
8	False	1.221	1.105	0.912	0.885	1.553	1.246	0.893	0.86
9	False	1.193	1.092	0.914	0.888	1.517	1.232	0.895	0.862
10	False	1.169	1.081	0.916	0.89	1.531	1.238	0.893	0.86
11	False	1.149	1.072	0.918	0.892	1.527	1.236	0.894	0.861
12	False	1.125	1.061	0.919	0.894	1.513	1.23	0.894	0.862
13	False	1.113	1.055	0.92	0.895	1.534	1.239	0.894	0.862
14	False	1.091	1.045	0.922	0.897	1.509	1.229	0.894	0.86
15	False	1.082	1.04	0.922	0.897	1.53	1.237	0.893	0.861
16	False	1.062	1.031	0.924	0.899	1.508	1.228	0.895	0.861
17	False	1.049	1.024	0.925	0.9	1.463	1.21	0.898	0.867
18	False	1.036	1.018	0.926	0.901	1.515	1.231	0.895	0.862
19	False	1.02	1.01	0.927	0.903	1.488	1.22	0.897	0.864
20	False	1.008	1.004	0.928	0.903	1.476	1.215	0.896	0.865
21	False	0.999	1.0	0.929	0.904	1.504	1.227	0.896	0.865
22	False	0.988	0.994	0.929	0.905	1.499	1.225	0.895	0.862
23	False	0.984	0.992	0.93	0.906	1.478	1.216	0.896	0.865
24	False	0.972	0.985	0.931	0.907	1.492	1.222	0.896	0.864
25	False	0.969	0.984	0.931	0.907	1.509	1.228	0.894	0.861
26	False	0.959	0.979	0.932	0.908	1.481	1.217	0.895	0.863
27	True	0.948	0.974	0.932	0.909	1.482	1.217	0.896	0.864
