Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.97	1.404	0.855	0.812	1.958	1.4	0.867	0.825
2	False	1.506	1.227	0.89	0.856	1.664	1.291	0.877	0.84
3	False	1.431	1.196	0.896	0.863	1.703	1.306	0.882	0.847
4	False	1.377	1.173	0.9	0.868	1.605	1.268	0.882	0.847
5	False	1.336	1.156	0.903	0.872	1.764	1.329	0.88	0.843
6	False	1.284	1.133	0.907	0.878	1.564	1.252	0.886	0.852
7	False	1.248	1.117	0.91	0.881	1.567	1.253	0.886	0.852
8	False	1.21	1.1	0.913	0.885	1.519	1.234	0.889	0.854
9	False	1.181	1.087	0.915	0.888	1.744	1.322	0.882	0.845
10	False	1.159	1.077	0.917	0.89	1.552	1.247	0.888	0.855
11	False	1.137	1.066	0.918	0.892	1.557	1.249	0.886	0.851
12	False	1.12	1.058	0.92	0.894	1.553	1.247	0.888	0.853
13	False	1.099	1.048	0.921	0.895	1.537	1.241	0.888	0.853
14	False	1.086	1.042	0.922	0.896	1.563	1.252	0.888	0.853
15	False	1.071	1.035	0.923	0.898	1.507	1.229	0.889	0.855
16	False	1.055	1.027	0.925	0.899	1.535	1.24	0.89	0.856
17	False	1.041	1.02	0.926	0.9	1.591	1.263	0.89	0.857
18	False	1.032	1.016	0.926	0.901	1.503	1.227	0.892	0.859
19	False	1.015	1.007	0.928	0.903	1.505	1.228	0.891	0.858
20	False	1.004	1.002	0.928	0.903	1.516	1.232	0.891	0.858
21	False	0.99	0.995	0.929	0.905	1.515	1.232	0.889	0.856
22	False	0.979	0.99	0.93	0.906	1.564	1.252	0.889	0.855
23	False	0.975	0.987	0.931	0.906	1.542	1.243	0.888	0.854
24	False	0.967	0.983	0.931	0.907	1.501	1.226	0.89	0.857
25	False	0.962	0.981	0.931	0.907	1.504	1.228	0.891	0.858
26	False	0.948	0.974	0.933	0.909	1.491	1.222	0.891	0.858
27	False	0.94	0.969	0.933	0.909	1.493	1.223	0.891	0.858
28	False	0.936	0.967	0.933	0.91	1.543	1.244	0.89	0.856
29	False	0.922	0.96	0.934	0.911	1.517	1.233	0.892	0.858
30	False	0.916	0.957	0.935	0.911	1.542	1.243	0.89	0.856
31	False	0.911	0.955	0.935	0.912	1.515	1.232	0.891	0.857
32	False	0.906	0.952	0.936	0.912	1.501	1.226	0.89	0.857
33	False	0.899	0.948	0.936	0.913	1.497	1.225	0.89	0.857
34	False	0.891	0.944	0.937	0.913	1.482	1.219	0.891	0.858
35	False	0.887	0.942	0.937	0.914	1.497	1.225	0.89	0.857
36	False	0.881	0.939	0.937	0.915	1.489	1.221	0.891	0.858
37	False	0.877	0.937	0.938	0.915	1.543	1.243	0.89	0.857
38	False	0.869	0.932	0.938	0.916	1.496	1.224	0.892	0.86
39	False	0.867	0.931	0.938	0.916	1.498	1.225	0.892	0.859
40	False	0.864	0.929	0.939	0.916	1.505	1.228	0.891	0.859
41	False	0.858	0.926	0.939	0.917	1.537	1.241	0.89	0.857
42	False	0.85	0.922	0.94	0.917	1.49	1.222	0.892	0.861
43	False	0.849	0.922	0.94	0.917	1.532	1.239	0.89	0.857
44	True	0.838	0.916	0.941	0.918	1.557	1.249	0.891	0.859
